Debut GP classique (pagie_1)
   	      	               fitness                	              size             
   	      	--------------------------------------	-------------------------------
gen	nevals	avg  	max        	min    	std   	avg  	max	min	std    
0  	100   	42207	4.21327e+06	0.52929	419207	15.39	107	2  	19.7129
0  	200   	30376.2	4.21327e+06	0.52929	313834	15.495	117	2  	21.367 
2  	300   	2.47734	8.43199    	0.52929	0.944404	14.3537	86 	2  	17.854 
2  	400   	59.223 	10221.7    	0.434803	755.377 	14     	86 	1  	17.1778
3  	500   	3.73149	117.735    	0.434803	11.1084 	6.97093	32 	2  	7.25565
4  	600   	2.41523	85.8609    	0.434803	7.02037 	4.56579	19 	1  	4.06796
5  	700   	1.58257	41.7823    	0.434803	4.83564 	3.56835	14 	1  	2.67429
6  	800   	0.697384	10.6741    	0.434803	1.11461 	4.10853	12 	1  	2.30685
7  	900   	1.23435 	23.6122    	0.434803	3.40378 	5.36842	12 	2  	2.32176
8  	1000  	0.807211	17.3556    	0.434803	2.15936 	5.62963	12 	2  	2.17133
9  	1100  	0.717644	10.6741    	0.434803	1.31112 	5.68817	14 	1  	2.37812
9  	1200  	2.09356 	97.2092    	0.434803	9.05956 	6.06736	16 	1  	2.75617
10 	1300  	2.09126 	101.389    	0.434803	7.60974 	6.13978	19 	1  	3.09905
11 	1400  	1.37418 	44.9601    	0.434803	3.78415 	5.94904	16 	1  	2.87709
12 	1500  	1.38558 	17.79      	0.434803	2.58844 	6.52597	18 	1  	3.12343
13 	1600  	1.26353 	28.8242    	0.434803	2.9855  	6.13636	16 	1  	2.61341
14 	1700  	1.08322 	34.8254    	0.434803	3.78228 	6.32576	15 	2  	2.20363
15 	1800  	1.63074 	28.1439    	0.434803	3.90814 	6.40541	17 	1  	2.62825
16 	1900  	0.583283	2.76857    	0.434803	0.534079	6.41176	21 	1  	2.79479
17 	2000  	0.455636	2.34032    	0.434803	0.193602	6.5    	15 	2  	2.23607
17 	2100  	1.82029 	88.0291    	0.434803	6.51223 	6.30102	17 	2  	2.75462
18 	2200  	1.33957 	26.5342    	0.434803	2.80705 	6.61622	20 	1  	3.35451
