Debut GP classique (boston)
   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg  	max	min	std    
0  	100   	1.33979e+14	7.94247e+15	86.9858	9.54198e+14	13.41	95 	2  	17.5266
0  	200   	6.69906e+13	7.94247e+15	86.9858	6.78037e+14	12.865	95 	2  	17.6731
0  	300   	1.12876e+15	1.7743e+17 	86.9858	1.32963e+16	11.7133	109	2  	17.3351
0  	400   	3.81605e+15	1.18777e+18	86.9858	6.03819e+16	11.965 	143	2  	18.2648
0  	500   	5.15868e+16	2.42669e+19	86.9858	1.08537e+18	12.14  	143	2  	18.5527
1  	600   	528887     	1.10039e+08	86.9858	6.36962e+06	6.48204	82 	1  	9.99452
1  	700   	418799     	1.10039e+08	86.9858	5.59343e+06	6.63364	82 	1  	10.4627
2  	800   	9.63079e+07	2.56176e+10	86.9858	1.56776e+09	3.73684	33 	1  	3.28792
2  	900   	7.19081e+07	2.56176e+10	86.9858	1.33762e+09	3.86612	33 	1  	3.26031
2  	1000  	5.65035e+07	2.56176e+10	86.9858	1.18581e+09	4.04077	33 	1  	3.68742
3  	1100  	104654     	2.23808e+07	86.9858	1.37998e+06	3.54452	11 	1  	1.62854
3  	1200  	80325      	2.23808e+07	86.9858	1.19186e+06	3.60969	20 	1  	1.88258
3  	1300  	65439.6    	2.23808e+07	86.9858	1.06438e+06	3.63618	26 	1  	2.0894 
4  	1400  	901.858    	215839     	86.9858	11942      	3.43252	9  	1  	1.34759
4  	1500  	103498     	4.34459e+07	86.9858	2.10247e+06	3.48592	9  	1  	1.45545
5  	1600  	650.575    	115088     	86.9858	7397.12    	3.33884	9  	1  	1.25674
5  	1700  	342064     	7.2752e+07 	86.9858	4.56305e+06	3.3655 	11 	1  	1.41143
5  	1800  	362851     	7.2752e+07 	86.9858	4.50507e+06	3.41629	11 	1  	1.42012
6  	1900  	877.059    	192099     	86.9858	11905.3    	3.34749	9  	1  	1.13343
6  	2000  	1057.92    	192099     	86.9858	12010.7    	3.37883	10 	1  	1.22926
6  	2100  	3368.53    	275407     	86.9858	24534.6    	3.42702	10 	1  	1.26138
7  	2200  	158        	5678.76    	84.7028	361.164    	3.47212	9  	1  	1.1553 
7  	2300  	1.90829e+06	7.03278e+08	84.7028	3.65614e+07	3.49051	9  	1  	1.17126
7  	2400  	1.50718e+06	7.03278e+08	84.7028	3.24395e+07	3.50746	9  	1  	1.2418 
