Debut GP harm (pagie_1)
   	      	               fitness                	              size             
   	      	--------------------------------------	-------------------------------
gen	nevals	avg  	max        	min    	std   	avg  	max	min	std    
0  	100   	42207	4.21327e+06	0.52929	419207	15.39	107	2  	19.7129
0  	200   	30376.2	4.21327e+06	0.52929	313834	15.495	117	2  	21.367 
0  	300   	23617.5	4.21327e+06	0.52929	262548	14.9033	127	2  	20.623 
0  	400   	17827.5	4.21327e+06	0.52929	227597	15.06  	127	2  	20.8218
0  	500   	14438.7	4.21327e+06	0.52929	203702	15.394 	127	2  	20.788 
1  	600   	57874.8	1.31935e+07	0.52929	871841	10.5877	64 	2  	11.1169
1  	700   	40277.7	1.31935e+07	0.434803	727374	11.0396	64 	2  	11.3772
1  	800   	31654.2	1.31935e+07	0.434803	637152	11.4766	79 	2  	12.1731
2  	900   	2.98442	131.747    	0.507177	9.97055	8.77059	54 	1  	9.09559
2  	1000  	9.08834	1202.41    	0.507177	76.8524	8.55926	59 	1  	8.81803
2  	1100  	8.67372	1202.41    	0.507177	66.2458	8.56757	59 	1  	8.62692
2  	1200  	8.18285	1202.41    	0.434803	60.2366	8.46809	59 	1  	8.30599
3  	1300  	4.70856	553.88     	0.434803	38.8307	7.61084	31 	1  	5.97542
3  	1400  	6.34518	740.269    	0.434803	52.9036	7.39934	31 	1  	6.06746
3  	1500  	5.8667 	740.269    	0.434803	46.598 	7.134  	31 	1  	5.91183
4  	1600  	0.578639	2.62378    	0.434803	0.333414	5.09286	26 	1  	4.64742
4  	1700  	1.31452 	87.7321    	0.434803	5.69596 	5.29167	26 	1  	4.63662
4  	1800  	1.92642 	193.71     	0.434803	11.5103 	5.18824	26 	1  	4.47738
4  	1900  	1.78403 	193.71     	0.434803	10.1497 	5.32273	26 	1  	4.51869
5  	2000  	0.863597	10.6741    	0.434803	1.47283 	4.9125 	26 	1  	3.50783
5  	2100  	1.46849 	80.0854    	0.434803	5.72564 	5.48462	26 	1  	4.12168
5  	2200  	1.3565  	80.0854    	0.434803	4.91493 	5.31944	26 	1  	4.09005
