Debut GP harm (boston)
   	      	                      fitness                      	              size             
   	      	---------------------------------------------------	-------------------------------
gen	nevals	avg        	max        	min    	std        	avg 	max	min	std    
0  	100   	1.80909e+11	1.68066e+13	86.9858	1.67346e+12	7.58	37 	2  	8.93776
0  	200   	5.1088e+13 	1.01995e+16	86.9858	7.19403e+14	7.345	39 	2  	8.17227
0  	300   	1.43069e+14	3.2703e+16 	86.9858	1.97262e+15	7.42333	39 	2  	7.8501 
0  	400   	1.07372e+14	3.2703e+16 	86.9858	1.70946e+15	7.49   	46 	2  	8.17893
0  	500   	2.59922e+24	1.29961e+27	86.9858	5.80621e+25	7.588  	46 	2  	8.19526
1  	600   	3.68009e+09	7.7357e+11 	86.9858	5.11908e+10	5.07424	36 	2  	5.21827
1  	700   	2.57179e+09	7.7357e+11 	86.9858	4.27415e+10	4.94529	36 	2  	5.12785
1  	800   	1.97232e+09	7.7357e+11 	86.9858	3.74457e+10	5.09091	36 	1  	5.30019
2  	900   	2657.34    	195506     	86.9858	21362.2    	3.58788	16 	1  	2.29885
2  	1000  	4443.4     	195506     	86.9858	26251.1    	3.70566	16 	1  	2.38473
2  	1100  	4275.87    	195506     	86.9858	25156.7    	3.80822	16 	1  	2.52471
2  	1200  	6756.64    	1.54787e+06	86.9858	74953      	3.85161	20 	1  	2.66428
3  	1300  	1835.22    	195506     	86.9858	16459.7    	4.125  	14 	1  	2.52376
3  	1400  	76577      	2.23808e+07	86.9858	1.29001e+06	4.04   	14 	1  	2.46814
3  	1500  	58085.8    	2.23808e+07	86.9858	1.11769e+06	4.045  	15 	1  	2.55205
3  	1600  	88620.5    	2.23808e+07	86.9858	1.35786e+06	4.064  	15 	1  	2.54557
4  	1700  	1105.83    	195506     	86.9858	12847.7    	3.66379	11 	1  	2.1812 
4  	1800  	1563.03    	224733     	86.9858	16313.9    	3.64458	12 	1  	2.11994
4  	1900  	1597.91    	224733     	86.9858	15790.9    	3.66204	13 	1  	2.10415
5  	2000  	874.586    	122290     	86.9858	9539.74    	3.77301	11 	1  	1.91635
5  	2100  	884.995    	122290     	86.9858	8262.41    	3.92395	13 	1  	2.23902
5  	2200  	1955.16    	245884     	86.9858	17840.9    	3.92011	13 	1  	2.25061
5  	2300  	3651.77    	742904     	86.9858	38490.7    	3.90497	13 	1  	2.2662 
6  	2400  	1798.43    	195506     	86.9858	16402.7    	3.96237	12 	1  	2.06447
6  	2500  	13087.1    	1.63152e+06	86.9858	133669     	4      	12 	1  	2.08055
6  	2600  	10344.9    	1.63152e+06	86.9858	115585     	4.1114 	14 	1  	2.13908
6  	2700  	75341.3    	3.01829e+07	86.9858	1.37486e+06	4.08848	14 	1  	2.11559
7  	2800  	226738     	5.23342e+07	86.9858	3.43586e+06	4.00433	12 	1  	1.92162
7  	2900  	159348     	5.23342e+07	86.9858	2.87216e+06	4.06344	17 	1  	2.05783
7  	3000  	313693     	8.24253e+07	86.9858	4.6925e+06 	4.11833	17 	1  	2.09793
8  	3100  	170.787    	5863.83    	86.9858	469.221    	4.15882	14 	1  	2.27352
8  	3200  	2288.08    	211557     	86.9858	19005      	4.1963 	15 	1  	2.32586
8  	3300  	1741.29    	211557     	86.9858	16260.6    	4.09459	15 	1  	2.15588
8  	3400  	4969.75    	1.66561e+06	86.9858	78028.9    	4.13404	15 	1  	2.19601
9  	3500  	420.575    	54679      	85.1888	3718.39    	4.21659	17 	2  	2.27268
9  	3600  	65373.4    	2.06077e+07	85.1888	1.1556e+06 	4.20505	17 	2  	2.2562 
9  	3700  	248247     	8.27632e+07	85.1888	4.1693e+06 	4.17506	20 	2  	2.29075
10 	3800  	102.779    	514.721    	86.9858	64.3029    	4.21875	20 	1  	2.50667
10 	3900  	405320     	1.04915e+08	86.9234	6.49395e+06	4.38077	20 	1  	2.5384 
10 	4000  	292844     	1.04915e+08	86.9234	5.52178e+06	4.30278	20 	1  	2.39791
10 	4100  	300719     	1.04915e+08	86.9234	5.08288e+06	4.27609	20 	1  	2.42179
11 	4200  	156999     	3.02778e+07	86.9234	2.17378e+06	3.86528	20 	1  	2.21453
11 	4300  	106084     	3.02778e+07	86.3979	1.76604e+06	3.91468	20 	1  	2.41643
11 	4400  	79794.2    	3.02778e+07	86.3979	1.52557e+06	3.89059	20 	1  	2.25041
11 	4500  	109683     	3.02778e+07	86.3979	1.69664e+06	3.91075	20 	1  	2.27522
12 	4600  	6.68922e+06	1.56524e+09	86.3979	1.02104e+08	3.67094	20 	3  	1.761  
12 	4700  	5.01759e+06	1.56524e+09	86.3979	8.56919e+07	3.74251	20 	1  	1.98939
12 	4800  	3.86227e+06	1.56524e+09	86.3979	7.52037e+07	3.80184	20 	1  	2.03594
13 	4900  	353.945    	32748      	86.3979	2577.83    	3.71951	20 	2  	1.83645
13 	5000  	9242.36    	2.28082e+06	86.3979	140157     	3.74621	20 	1  	1.77311
13 	5100  	7138.11    	2.28082e+06	86.3979	119606     	3.76923	20 	1  	1.79485
13 	5200  	5.52195e+07	2.56186e+10	86.3979	1.18803e+09	3.87069	20 	1  	1.97192
14 	5300  	267.434    	29146.3    	86.3979	2005.22    	3.88995	12 	2  	1.74508
14 	5400  	708.286    	121130     	86.3979	7080.16    	3.88997	12 	1  	1.82242
14 	5500  	122588     	4.95275e+07	86.3979	2.44594e+06	3.99756	12 	1  	1.92716
15 	5600  	111.534    	879.071    	86.3979	95.1629    	4.63514	12 	2  	2.2244 
15 	5700  	5018.12    	1.09423e+06	86.3979	69381.9    	4.62097	16 	1  	2.38135
15 	5800  	150439     	4.87851e+07	86.3979	2.61432e+06	4.49713	16 	1  	2.38108
15 	5900  	117618     	4.87851e+07	86.3979	2.30497e+06	4.4375 	16 	1  	2.29238
16 	6000  	2.77312e+09	4.82523e+11	86.3979	3.64747e+10	4.97126	13 	2  	2.34258
16 	6100  	1.76114e+09	4.82523e+11	86.3979	2.9097e+10 	4.93431	13 	2  	2.35128
16 	6200  	1.29026e+09	4.82523e+11	86.3979	2.49173e+10	4.97861	13 	1  	2.31931
16 	6300  	1.01805e+09	4.82523e+11	86.3979	2.21396e+10	4.98734	13 	1  	2.36533
17 	6400  	905.176    	125746     	86.3979	8908.14    	5.84   	12 	2  	2.23482
17 	6500  	2588.84    	211557     	86.3979	18746      	5.76333	14 	1  	2.3081 
