Debut GP harm (bioavailability)
   	      	               fitness                	              size             
   	      	--------------------------------------	-------------------------------
gen	nevals	avg    	max        	min    	std   	avg  	max	min	std    
0  	100   	77789.2	6.94628e+06	3687.59	690518	15.13	117	2  	23.2996
0  	200   	43490.5	6.94628e+06	3687.59	489813	14.665	127	2  	23.4381
0  	300   	60666.6	7.30675e+06	2487.85	586298	13.3633	127	2  	21.3822
0  	400   	52588.8	7.30675e+06	2487.85	520483	12.555 	127	2  	20.3906
0  	500   	71773.2	8.28701e+06	2487.85	650801	12.806 	127	2  	20.2569
1  	600   	5466.63	25752.8    	2480.98	1451.44	7.5177 	70 	1  	11.1523
1  	700   	5443.28	25752.8    	2480.98	1230.86	7.49387	70 	1  	11.7418
1  	800   	1.58604e+07	6.74709e+09	2480.98	3.26513e+08	8.09155	76 	1  	12.7461
2  	900   	5920.03    	150355     	2480.98	11173.1    	5.56805	40 	1  	7.28436
2  	1000  	6185.01    	150355     	2228.79	12501.8    	5.48699	40 	1  	7.23509
2  	1100  	5971.96    	150355     	2228.79	10726.3    	5.89973	63 	1  	8.18242
2  	1200  	5933.68    	150355     	2228.79	9930.07    	6.40085	68 	1  	9.22806
3  	1300  	5044.76    	83913.8    	2375.84	5843.57    	6.86702	39 	2  	8.50834
3  	1400  	4968.88    	83913.8    	2137.17	4753.18    	6.38542	52 	2  	8.13562
3  	1500  	5821.34    	348029     	2137.17	17880.6    	6.31186	52 	2  	8.19751
3  	1600  	5594       	348029     	2137.17	15956      	6.42623	52 	2  	8.3356 
4  	1700  	4156.1     	7948.2     	2137.17	1033       	6.45946	44 	2  	8.19007
4  	1800  	5574.22    	437813     	2137.17	24151.7    	6.78882	44 	1  	8.45772
4  	1900  	5213.24    	437813     	2116.14	21115.7    	6.38626	46 	1  	7.97033
5  	2000  	3087.14    	5571.51    	2137.17	832.719    	7.71831	44 	1  	10.1158
5  	2100  	5330.11    	451223     	2131.63	28823      	8.27273	46 	1  	10.3209
5  	2200  	9029.36    	1.46066e+06	2116.14	82271      	7.79825	46 	1  	9.6526 
5  	2300  	7838.54    	1.46066e+06	2116.14	72404.4    	7.34163	46 	1  	9.02678
6  	2400  	2758.73    	5854.75    	2116.14	731.447    	6.22754	37 	2  	7.30243
6  	2500  	2875.96    	7855.84    	2116.14	898.272    	6.34831	46 	2  	7.7282 
6  	2600  	3936.05    	354497     	2116.14	18377.8    	6.57766	46 	1  	8.03052
6  	2700  	3839.46    	354497     	2116.14	16518.7    	6.7045 	46 	1  	8.15051
7  	2800  	36455.5    	7.03294e+06	2116.14	487469     	6.59903	37 	2  	7.93991
7  	2900  	32823.4    	7.03294e+06	2104.81	414497     	7.37785	46 	2  	9.17548
7  	3000  	42959.1    	7.1322e+06 	2104.81	503535     	7.23833	46 	1  	8.86839
8  	3100  	2269.89    	3732.54    	2104.81	232.139    	7.41611	46 	3  	9.38591
8  	3200  	1.04832e+08	2.60943e+10	2096.67	1.65033e+09	6.95181	46 	1  	8.72687
8  	3300  	7.47947e+07	2.60943e+10	2096.67	1.39479e+09	7.42693	46 	1  	8.91787
8  	3400  	5.81532e+07	2.60943e+10	2096.67	1.23009e+09	7.84187	46 	1  	9.57979
9  	3500  	7185.4     	870946     	2096.18	64742.8    	9.48603	46 	2  	11.9909
9  	3600  	81809.6    	7.11965e+06	2096.18	730035     	9.37993	55 	2  	11.6314
9  	3700  	460719     	1.51516e+08	2096.18	7.79474e+06	9.1504 	55 	1  	11.167 
9  	3800  	372299     	1.51516e+08	2096.18	6.93741e+06	9.12317	55 	1  	10.8917
10 	3900  	69153      	7.1322e+06 	2112.25	684698     	9.14151	53 	3  	10.9574
10 	4000  	47862.1    	7.1322e+06 	2096.18	565255     	10.0321	55 	3  	11.6964
10 	4100  	36937.7    	7.1322e+06 	2072.53	492274     	9.96359	55 	1  	11.5513
11 	4200  	2199.39    	2578.61    	2072.53	138.724    	11.7733	55 	3  	13.5115
11 	4300  	2407.57    	5571.51    	2072.53	620.511    	11.292 	55 	1  	12.9802
11 	4400  	2477.19    	5604.14    	2072.53	657.19     	11.3229	55 	1  	12.6164
11 	4500  	2650.53    	57328.4    	2030.36	2678.39    	11.4511	55 	1  	12.5134
12 	4600  	2277.35    	5571.51    	2030.36	391.151    	12.0339	76 	3  	13.7224
