{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 883.574478935917}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 977.00240659979522}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 864.71201990169402}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 981.18856634524423}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 1018.3965446976438}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 984.33662381863542}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 705.02232285401692}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 801.23852121293771}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 715.37151042345988}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 971.01474412890286}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 622.29941418835324}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 669.88463091178812}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 889.04613364668114}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 716.18578345814035}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 759.5867010998038}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 714.2724441041596}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 713.9505237453161}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 742.36684756239117}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 652.64650863892416}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 952.64531891864954}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 985.55655204178595}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 1065.0016453488386}
