{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 1332.4446410386267}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 1559.6288384116265}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 1426.3339739763776}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 1603.6108633753204}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 1078.1641177288468}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 789.43182489138007}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 1328.9004258666887}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 1334.1664075874444}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 1484.6423691470334}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 1095.2027035269016}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 1305.522797965581}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 1201.1907918581212}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 1449.9428743172894}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 1218.2118327128194}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 1373.4509777925377}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 730.67496545530196}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 1110.7826930174074}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 1126.5525280838524}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 924.84201670202572}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 1030.9913651823535}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 1628.3027205847261}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 1881.2089604716614}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 1895.9898016292509}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 1337.1227141543341}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 1267.8052808972704}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 1245.5756417174475}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 1241.084411153864}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 1599.4083182690483}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 1497.2795199782415}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 1639.765413082841}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 1337.9557484271375}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 1541.1018815975876}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 1395.0323838792021}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 1107.8114426567827}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 1315.1043265604835}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 1636.1876315074776}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 1532.7460635370135}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 1056.0779211622273}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 1404.2271678704612}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 1370.4163869383995}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 1661.6587665475595}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 2078.9941898580551}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 2000.597183414988}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 1799.0260463927093}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 1777.3923411683309}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 1646.6984241988}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 1653.4564460911163}
