{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 52.441711166263957}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 41.223899215686266}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 25.119706532156858}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 51.059555270453842}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 29.544286390294118}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 42.023904620970754}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 39.077581361001137}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 59.672189412806965}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 51.028559803921567}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 41.807977281562607}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 70.737293848923485}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 37.35397531225594}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 47.690178130415887}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 76.252328785212782}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 39.879228107843133}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 56.828757649282366}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 38.81716616998694}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 70.852894692808093}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 24.755525794117656}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 30.933884796968787}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 54.36751266666667}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 68.449154202551242}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 85.188825034803941}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 24.319439421568646}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 24.907333135588246}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 43.731503039506862}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 58.489227057941164}
