{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 459.55337449664478}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 4226.3299428309938}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 4012.134954120696}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 3539.6591139744478}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 787.01683215375169}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 386.41354264795626}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 444.70172172056192}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 299.73947528981085}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 264.81615003050683}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 276.39042492505195}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 299.73947528981085}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 1120.4254347773017}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 4770.7423035997599}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 270.60304258694339}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 93.126634716290525}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 235.31027705918268}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 594.64918065893801}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 4740.4516980475946}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 280.57828720439312}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 3904.3526059792512}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 4309.7063670530779}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 4616.920955460645}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 4989.1117390482032}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 5087.2866232458828}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 1942.845717998779}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 4728.6334621110436}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 4672.7055431360614}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 4018.3370313413043}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 2295.9505702867573}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 4614.8728280048754}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 3401.9547354484494}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 5153.3625787675319}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 844.09958529591108}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 2922.5933232458842}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 822.45595241000603}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 3139.3337090298992}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 1543.7823043319088}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 2656.7337246491779}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 2973.3390899328842}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 4257.9729136058559}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 5211.0107584502766}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 5044.2992216595449}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 5166.9888407565631}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 5161.9833204392999}
