{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.030573728652244919}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.030573728652244933}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.015182650183225059}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.020472304468780584}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.02334709076930273}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.01928512111118328}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.036092696313999945}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.10222766256049999}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.015459162283136324}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.056636964790091684}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.025483738703672505}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.036092696313999903}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.022214957764105807}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.022436795255814757}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.020980333472937009}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.12600228422200002}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.020841347556166356}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.16701569357599994}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.025537759349598149}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.021973491694426348}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.025537759349598153}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.02334709076930273}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.025537759349598149}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.021210774238326145}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.02168392172407076}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.025537759349598149}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.021824089948970359}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.021008450117867828}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999965}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.025537759349598149}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.030573728652244937}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.056605184607094905}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.021996386895918128}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.021783657903433652}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.02334709076930273}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.021099958362237495}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.025523461557624073}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.020712171177331266}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.03587165731482999}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.024019017100256376}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.025537759349598153}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.030573728652244937}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.025537759349598149}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.023498053604743614}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999972}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.03057372865224493}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.028689799614650832}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999972}
