{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.11539226627393658}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16265064419050007}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.15232496179514946}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.16543081449522268}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.29679855089023038}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.30020605229355568}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249976}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.41323874247550002}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.40061983281607738}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.364113194445502}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.43480307366249982}
