{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 9.046654728500159e-05}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0031434649999999981}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0013286025000000007}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0031434649999999981}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0044720674999999838}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0031455674999999982}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.00097662507396377787}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0044720674999999986}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0010615674999999952}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0077915674999999981}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0031598674999999982}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0032165674999999976}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0076115850637804823}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0013745666402499922}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0066501024999999986}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 1.9259299443872359e-34}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0044720674999999986}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.0027031674999999969}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.0013990674999999962}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.0013745649999999964}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0031598674999999982}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.0077915674999999955}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 7.7037197775489434e-34}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.007653567499999998}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.0066341024999999991}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.0090155649999999997}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.0077915674999999955}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0031434649999999981}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.0044720674999999882}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.0031637149999999979}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.0031436674999999982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 1.9259299443872359e-34}
