{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.068059881108702869}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.051229534463389001}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293627}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.050219319987208702}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293641}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.04698345057715457}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.051229534463389001}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.060592183648544455}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.059604146513633251}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.12204097909064325}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.077521343095293654}
