{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.13351820501850001}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16558822700300005}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.12899537041719425}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.18953025103586627}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.11331403330687438}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.19688855801650004}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.13639198535749997}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.11004293632314813}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.13247774589600003}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16403962892150001}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.11565800267400003}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.15025079152526474}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.11106563226256277}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16101990146071907}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.19757335759200001}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.12162841557304287}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.26113660121499993}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.18329020485563446}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.19712020416250006}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.15810574392550003}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.17511861729908809}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.19299823189200008}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.11965224875577193}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.13095499969100011}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.19577585790439644}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.16272602593369284}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.1534436647623468}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.12394836975128869}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.18142031670364425}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.12187103361500007}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.1402858207916178}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.173706627694}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.15549848304100003}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.1603473181075}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.18918517930054532}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.20568131546649993}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.208304030083}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.1524808342857453}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.18374577009044754}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.13499515279450006}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.20228601365774498}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.16981025047499998}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.20353472602850001}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.20366811488699987}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.19664904673749997}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.17918102379796674}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.20087234400854392}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.13622921113700004}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.17238985189400002}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.17454971062703328}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.1542215130257405}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.19436121158513975}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.19735665907357591}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.16354319445849996}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.16381985908400007}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.14484840900595133}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.13427002671550001}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.12187103361500007}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.12297795525300004}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.1342309642242438}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.208304030083}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.21409603786763318}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.2035035353305}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.21923725246250009}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.19009325387359163}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.19471005022355548}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.17364647297199998}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.20250384165999996}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.20198313269699997}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.199814144763685}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.21047242285250001}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.20797735071200002}
