{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 1096.8760013578733}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 1087.8934635956152}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 1098.4773719012617}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 1089.2772599667769}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 992.1480194094695}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 993.7093456810635}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 993.08935210033144}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 975.07673700655027}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 992.09874102990034}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 1066.7531238009299}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 992.09874102990034}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 1017.4028390745835}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 992.1480194094695}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 992.09874102990034}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 965.0533450733401}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 989.64898713266859}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 990.46414067202397}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 910.23164224668722}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 992.09874102990034}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 915.33862821041316}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 1259.0673260550154}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 1283.7325466520931}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 1287.8284892026581}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 1231.4877708434019}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 1211.9261439921729}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 1071.9379202947509}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 1224.6992424314942}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 1060.9835782392022}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 1121.4112293997346}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 1188.3739349371422}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 1184.3431627330347}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 1065.8472729346174}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 992.48813637873741}
