{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 1905.2669619157423}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 1733.5697368606184}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 1615.0379443133077}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 1684.1522906079488}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 1832.1582956266693}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 1908.6474722056564}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 1573.2216282431662}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 1746.6984575452616}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 1681.2963306898523}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 1280.6190350621503}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 2137.17493307}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 1792.9115424445902}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 1813.9870623799734}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 1446.9805882913186}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 1621.6665493977844}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 1420.2579737160791}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 1797.5632169327764}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 1517.3412462663391}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 1673.8808274858027}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 1484.4024846529442}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 1826.979540915994}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 1666.0124084094032}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 1803.2599569922218}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 1278.9907442170256}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 1697.3348444912815}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 1399.6100037503575}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 1796.655648270473}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 1691.6592104099029}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 1782.2276807081844}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 1469.4279976155501}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 1555.5838038814275}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 1768.6810345550382}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 1413.9509625973787}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 1829.8299593492932}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 1490.2820188857122}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 2137.17493307}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 1807.0992482694137}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 1842.6636050486361}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 1598.6001419318059}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 1656.0298248366373}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 1432.950473779425}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 2028.0860026967825}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 2050.3251154551235}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 1609.9918811179571}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 2037.4761785303062}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 1834.9014499570974}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 1877.8433497158039}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 2024.2451021147926}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 1847.6502380521156}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 1949.8861864571913}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 1814.2763514258995}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 1914.8025375046952}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 1736.019442079835}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 1671.998809495698}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 1803.4137835684405}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 1877.1941283159945}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 2060.6087518968361}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 1867.7360103329727}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 1619.5575255244364}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 1921.1801605359885}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 2018.1577196853516}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 1937.8292458811111}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 2109.6799070441243}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 1905.6448616797816}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 2023.5099981050412}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 2086.2327845095315}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 2085.4664864069459}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 2027.2292463423464}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 2066.4664840024639}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 2050.114726429616}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 1944.4115066847755}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 1370.028132441874}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 2019.6685281700468}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 1953.012067823875}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 1818.8264223063209}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 1988.5368796005573}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 1989.2725794391652}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 1997.5330181600043}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 2064.0526537282221}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 1840.1875107010908}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 2098.2465752190196}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 2151.0430011255553}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 2121.0710102112175}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 2147.792051537499}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 2117.9253688109252}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 2133.3086557041661}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 2127.6786025144443}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 2114.7308569129709}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 2126.2161914033331}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 2108.1663320260905}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 2112.1607538831358}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 2120.2866300736632}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 2137.17493307}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 2075.0641108022969}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 2123.7093886409079}
