{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 69.793486274509817}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 28.74086877450981}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 65.456130411568594}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 50.33507507009805}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 62.378748650470037}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 49.582112135682465}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 48.979958827129721}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 48.385766480196068}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 67.941250743823531}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 40.734009944255874}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 57.925049859509791}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 31.463827737463411}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 58.054662745098021}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 73.758336388235307}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 64.628506735294138}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 81.654641295781389}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 74.861450325211749}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 58.968179743921581}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 80.972522532683314}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 55.322683365963584}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 64.630349019607849}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 48.619186362456176}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 60.528072233027345}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 36.83101833471472}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 50.601379656666651}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 22.04150313725491}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 64.196623529411767}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 51.136439921568638}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 31.154336285375756}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 58.508951389861323}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 44.42804828632913}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 50.33507507009805}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 60.145026921388933}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 64.630349019607849}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 25.573527480392162}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 51.452049578235275}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 36.963505124313713}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 56.117996078431368}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 78.947147312450994}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 83.581176015196107}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 48.141404578431363}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 51.388263303725488}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 48.244261588039208}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 51.608163303725455}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 60.743077214901959}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 51.862690754705852}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 46.059129833416669}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 50.920480952450994}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 51.471282911568601}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 62.310160914290627}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 48.141404578431363}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 39.578206545082807}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 50.041075437058815}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 50.920480952450994}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 59.518236214019616}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 49.431595679661775}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 70.818646676792639}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 81.616299602647061}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 71.517016242742187}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 60.718263194901937}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 65.326369480392188}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 65.456130411568594}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 66.449269547352912}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 65.521163696372525}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 64.628506735294138}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 81.654641295781389}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 76.884202755769621}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 51.862690754705866}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 51.862690754705852}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 71.517016242742187}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 65.326369480392188}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 51.862690754705866}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 70.747464229193142}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 65.326369480392188}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 65.326369480392188}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 69.793486274509817}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 51.608163303725469}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 51.388263303725488}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 64.196623529411767}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 47.71281256843136}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 81.654641295781403}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 48.619186362456176}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 54.36751266666667}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 81.654641295781389}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 34.448568520517192}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 69.793486274509817}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 69.793486274509817}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 54.2778816388712}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 63.12087725715687}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 69.793486274509817}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 62.914597530765256}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 72.589315553945085}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 65.326369480392188}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 65.326369480392188}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 65.326369480392188}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 69.793486274509817}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 69.793486274509817}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 48.244261588039208}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 76.669043854514484}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 81.588796589899019}
