{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 3999.243563819402}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 4544.4894445393484}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 4714.4170862111068}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 4312.3200708968834}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 2479.1686228798058}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 2541.9801281269069}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 2519.5312035997567}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 4746.2740240390522}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 2147.3338300793162}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 5637.537129164114}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 5070.0626364246455}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 2000.1849583892576}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 4526.540226235511}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 5211.0107584502766}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 4778.3894616839589}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 4835.0837283709488}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 4688.4704364856543}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 5637.537129164114}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 4813.1591443563148}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 299.73947528981085}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 5115.0467081757242}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 4816.7802500915141}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 4859.6415489322744}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 4829.6813183038439}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 4810.0329120195338}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 4511.2907969493581}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 4620.0614994508815}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 4825.4661457596112}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 5637.537129164114}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 4232.1754222696763}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 3943.4053439902395}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 3812.0878737644889}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 4502.739375472851}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 4386.4641608297752}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 4253.6372229408144}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 5277.7367189749802}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 4895.1424040878592}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 3415.3117754728491}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 4236.5228779133613}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 4890.1987289810868}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 5169.8335706528269}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 5049.7601828553979}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 5192.5155804148835}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 5188.1103403904854}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 4989.1117390482032}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 5266.0804114093944}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 5216.7100741915747}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 5176.2824086028049}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 4972.1844309945045}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 4898.4869137278838}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 5111.5205143990233}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 4984.6710194630959}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 4904.3035444173274}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 5016.7871342892022}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 4667.9642485051836}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 4928.7104045759625}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 5004.6401082977409}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 4948.7301427699804}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 4732.7328107992726}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 4895.1424040878601}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 5313.4815460646705}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 5445.9923452715102}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 5294.1269031726661}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 5445.9923452715102}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 5266.0804114093944}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 5232.7291599145719}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 5201.8601545855745}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 5266.0804114093944}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 5311.0563555216522}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 5277.7992226967599}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 5093.8137949969596}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 5304.0939550945695}
