{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.021805630917275044}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.036092696313999965}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.025537759349598153}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.12600228422200002}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16701569357599994}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.12600228422200002}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.036092696313999952}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.025537759349598149}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.12600228422200005}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.16701569357599994}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.020113615163949453}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.020980287875887349}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.025537759349598149}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.022144688198833147}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.022275903545478638}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.023003361730388371}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.024203806889907819}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.03057372865224493}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.036092696313999972}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.030573728652244933}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.036092696313999972}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.027475844646978626}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.024825332311011711}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.023101483670220378}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.028100782391242644}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.029969433074267419}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.12600228422200005}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.030573728652244933}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.025366780835571024}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.057826200203175616}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.028689799614650832}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.025537759349598149}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.036092696313999972}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.036092696313999965}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.025537759349598149}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999965}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.03057372865224493}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999972}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999972}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.036092696313999979}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.036092696313999965}
