{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.12284217860701874}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16038820907713455}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.16225467554950002}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.16225467554950002}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.16398694295882391}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.38004264453516146}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.15282536972600005}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.16368432535157326}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.23023672462166656}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.033642434173731424}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.31338039021491798}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.38318656774249987}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.43480307366249976}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.43480307366249982}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.43480307366249976}
