{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 7.7037197775489434e-34}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0016771675000000004}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0031598674999999982}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 4.9303806576313238e-32}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.003216567500000008}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0076128548080399991}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0031434649999999981}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0077915674999999981}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.0066341024999999991}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.004472067500000002}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.0076619594038047053}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.0031436674999999982}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.01353406749999999}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.0024385674999999993}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.0026168124999999976}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0044720674999999986}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.004472067500000009}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 1.9259299443872359e-34}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.0}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.0023170674999999953}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 1.9259299443872359e-34}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 1.9259299443872359e-34}
