{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.20269634002062076}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.051229534463389001}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.10311857016560705}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293641}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.050219319987208764}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.050219319987208771}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.051229534463389001}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.066523561965524308}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.059604146513633237}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.051229534463389001}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.059604145583866147}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.050219319987208785}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.050219319987208771}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.046963765314946893}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.038855671900555638}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.050219319987208778}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.059040896298573203}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.059604146513633251}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.077521343095293627}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.059040896298573203}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.059604146513633251}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.059604146513633251}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.059040896298573203}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.059604146513633237}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.077521343095293654}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.077521342934158841}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.077521343095293654}
