{'n_tournament': 3, 'init_depth': 4, 'pop_size': 200, 'mse': 0.25845000269349999}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 200, 'mse': 0.1836093139782343}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 200, 'mse': 0.26113660121499993}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 200, 'mse': 0.13368230185399999}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 200, 'mse': 0.15955381790204717}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 200, 'mse': 0.12187103361500007}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 200, 'mse': 0.13443794775722812}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 200, 'mse': 0.15344949683550005}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 200, 'mse': 0.15985850102350002}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 200, 'mse': 0.165289318485}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 200, 'mse': 0.22165436574833172}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 200, 'mse': 0.13799424580419889}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 200, 'mse': 0.14692013786529898}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 200, 'mse': 0.17207565874049999}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 200, 'mse': 0.14661835086717695}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 200, 'mse': 0.26113660121499993}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 200, 'mse': 0.19757335759200001}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 200, 'mse': 0.15414279947948806}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 200, 'mse': 0.10955319714950011}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 200, 'mse': 0.13351820501850001}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 500, 'mse': 0.17316538113600002}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 500, 'mse': 0.16253453244500002}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 500, 'mse': 0.13914931691450005}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 500, 'mse': 0.17119412916600005}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 500, 'mse': 0.17041828126400002}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 500, 'mse': 0.14928443928549776}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 500, 'mse': 0.16988451166331331}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 500, 'mse': 0.12325389869750003}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 500, 'mse': 0.13622921113700004}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 500, 'mse': 0.16918623174200001}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 500, 'mse': 0.19466492208851929}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 500, 'mse': 0.16086112544915829}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 500, 'mse': 0.13286719875283726}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 500, 'mse': 0.19712020416250006}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 500, 'mse': 0.13044425149750002}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 500, 'mse': 0.17925557356488078}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 500, 'mse': 0.17168800028300002}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 500, 'mse': 0.12187103361500007}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 500, 'mse': 0.1340731531020925}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 500, 'mse': 0.12187103361500007}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.19315666160402445}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.19964746807699993}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.20327343709216039}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.2035035353305}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.16593668383900004}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.18682527978350003}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.18682527978350005}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.15676400062555251}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.18682527978350003}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.17316538113600002}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.16552099226150002}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.19757335759200001}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.13622921113700004}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.19757335759200001}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.1897713695838695}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.17798865714500003}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 1000, 'mse': 0.15937340395900002}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 1000, 'mse': 0.1503732071166746}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 1000, 'mse': 0.1474431082845}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 1000, 'mse': 0.14592192966699996}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.2035035353305}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.20645177604249995}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.21968770623509948}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.21047242285250001}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.20645177604249995}
