{'nb_hidden3': 227, 'nb_hidden2': 294, 'nb_hidden1': 88, 'mse': 428.02753, 'learning_rate': 0.21948469709760085, 'keep_value': 0.96893521014231088, 'reg_scale': 6.9501078219322254e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 233, 'nb_hidden2': 468, 'nb_hidden1': 24, 'mse': 251.28674, 'learning_rate': 0.058515147742813377, 'keep_value': 0.35526518723928979, 'reg_scale': 5.6226232692257897e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 123, 'nb_hidden2': 7, 'nb_hidden1': 377, 'mse': 14456.154, 'learning_rate': 1.2663091221830507e-05, 'keep_value': 0.55249212737902542, 'reg_scale': 5.7045161647077167, 'nb_hidden_layer': 2}
{'nb_hidden3': 174, 'nb_hidden2': 44, 'nb_hidden1': 410, 'mse': 148.14172, 'learning_rate': 0.00077757249724946169, 'keep_value': 0.40115942726594767, 'reg_scale': 8.1825078129340447, 'nb_hidden_layer': 2}
{'nb_hidden3': 409, 'nb_hidden2': 367, 'nb_hidden1': 266, 'mse': 37.340565, 'learning_rate': 0.00024102905372174233, 'keep_value': 0.21924167829570618, 'reg_scale': 0.040819991419584603, 'nb_hidden_layer': 2}
{'nb_hidden3': 185, 'nb_hidden2': 133, 'nb_hidden1': 373, 'mse': 52.24868, 'learning_rate': 0.02235689871753703, 'keep_value': 0.58695882637239594, 'reg_scale': 2.0095073199835512e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 191, 'nb_hidden2': 253, 'nb_hidden1': 233, 'mse': 6759.4941, 'learning_rate': 1.309275491648364e-05, 'keep_value': 0.097577518914858441, 'reg_scale': 6.5027231517592385, 'nb_hidden_layer': 3}
{'nb_hidden3': 443, 'nb_hidden2': 374, 'nb_hidden1': 380, 'mse': 48.037796, 'learning_rate': 0.0028722496892225114, 'keep_value': 0.83219888741075287, 'reg_scale': 1.22681953388414e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 78, 'nb_hidden2': 170, 'nb_hidden1': 378, 'mse': 747.41766, 'learning_rate': 1.3365490868183205, 'keep_value': 0.64636159860558595, 'reg_scale': 1.2437755814628642, 'nb_hidden_layer': 3}
{'nb_hidden3': 317, 'nb_hidden2': 119, 'nb_hidden1': 113, 'mse': 48.933174, 'learning_rate': 0.0035223162738181888, 'keep_value': 0.16752902212389353, 'reg_scale': 3.0291201414016835, 'nb_hidden_layer': 1}
{'nb_hidden3': 470, 'nb_hidden2': 376, 'nb_hidden1': 275, 'mse': 116.7053, 'learning_rate': 0.038982502292924638, 'keep_value': 0.8044370810548821, 'reg_scale': 0.53058015914705559, 'nb_hidden_layer': 1}
{'nb_hidden3': 170, 'nb_hidden2': 131, 'nb_hidden1': 257, 'mse': 52.04406, 'learning_rate': 0.021371429394221906, 'keep_value': 0.88392497122760949, 'reg_scale': 1.660828470434448, 'nb_hidden_layer': 1}
{'nb_hidden3': 113, 'nb_hidden2': 391, 'nb_hidden1': 154, 'mse': 840.96838, 'learning_rate': 10.252625364617799, 'keep_value': 0.72625905300827642, 'reg_scale': 0.0053666471877194047, 'nb_hidden_layer': 1}
{'nb_hidden3': 182, 'nb_hidden2': 203, 'nb_hidden1': 338, 'mse': 2842870.2, 'learning_rate': 51.946129271507829, 'keep_value': 0.9612839878006233, 'reg_scale': 7.1032729722930844e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 366, 'nb_hidden2': 399, 'nb_hidden1': 429, 'mse': 13153.602, 'learning_rate': 1.9716635907192364, 'keep_value': 0.61549134413825402, 'reg_scale': 8.5439388153728485e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 400, 'nb_hidden2': 297, 'nb_hidden1': 378, 'mse': 14552.543, 'learning_rate': 1.1879306482965848, 'keep_value': 0.2044960734801089, 'reg_scale': 0.28571943550128864, 'nb_hidden_layer': 3}
{'nb_hidden3': 57, 'nb_hidden2': 188, 'nb_hidden1': 252, 'mse': 443318.34, 'learning_rate': 37.806034722393328, 'keep_value': 0.47657574202000896, 'reg_scale': 0.00055033823261455982, 'nb_hidden_layer': 3}
{'nb_hidden3': 384, 'nb_hidden2': 285, 'nb_hidden1': 129, 'mse': 120.2068, 'learning_rate': 2.6407300231813555e-05, 'keep_value': 0.93714530509196348, 'reg_scale': 5.767731004307505, 'nb_hidden_layer': 3}
{'nb_hidden3': 414, 'nb_hidden2': 376, 'nb_hidden1': 165, 'mse': 65.693245, 'learning_rate': 0.022080015123066371, 'keep_value': 0.76354921020246025, 'reg_scale': 2.9510214584758694e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 46, 'nb_hidden2': 232, 'nb_hidden1': 306, 'mse': 46.745361, 'learning_rate': 0.0035004962551176441, 'keep_value': 0.75719607177263082, 'reg_scale': 0.0044837025603944244, 'nb_hidden_layer': 1}
{'nb_hidden3': 485, 'nb_hidden2': 28, 'nb_hidden1': 295, 'mse': 197.53961, 'learning_rate': 0.039733387291559438, 'keep_value': 0.677944217128569, 'reg_scale': 3.4783732125327885e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 154, 'nb_hidden2': 171, 'nb_hidden1': 20, 'mse': 43.457565, 'learning_rate': 0.00014897600200272353, 'keep_value': 0.68676564437473075, 'reg_scale': 0.0013103666638137257, 'nb_hidden_layer': 3}
{'nb_hidden3': 256, 'nb_hidden2': 183, 'nb_hidden1': 108, 'mse': 36.944695, 'learning_rate': 0.00023704973500255887, 'keep_value': 0.52089893236838802, 'reg_scale': 0.00070144925498865404, 'nb_hidden_layer': 2}
{'nb_hidden3': 85, 'nb_hidden2': 92, 'nb_hidden1': 89, 'mse': 52.625328, 'learning_rate': 0.014116886370248763, 'keep_value': 0.77634699862997014, 'reg_scale': 0.00061566170778561797, 'nb_hidden_layer': 2}
{'nb_hidden3': 50, 'nb_hidden2': 218, 'nb_hidden1': 361, 'mse': 4932.6772, 'learning_rate': 0.60914319901107161, 'keep_value': 0.57570027792389156, 'reg_scale': 0.040367466449436305, 'nb_hidden_layer': 1}
{'nb_hidden3': 271, 'nb_hidden2': 387, 'nb_hidden1': 254, 'mse': 73.122147, 'learning_rate': 0.01783435564363289, 'keep_value': 0.5252499466409204, 'reg_scale': 0.00076773666955933634, 'nb_hidden_layer': 2}
{'nb_hidden3': 211, 'nb_hidden2': 11, 'nb_hidden1': 313, 'mse': 503.24518, 'learning_rate': 1.627984353861647, 'keep_value': 0.80117200011599721, 'reg_scale': 4.8808706605467822e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 196, 'nb_hidden2': 298, 'nb_hidden1': 295, 'mse': 246.49763, 'learning_rate': 2.1512201923698688, 'keep_value': 0.8624721375855634, 'reg_scale': 8.6645553828885788e-07, 'nb_hidden_layer': 2}
