{'nb_hidden3': 60, 'nb_hidden2': 281, 'nb_hidden1': 170, 'mse': 956.83423, 'learning_rate': 4.4148609992702791e-05, 'keep_value': 0.43592576157531349, 'reg_scale': 0.36290392031444507, 'nb_hidden_layer': 2}
{'nb_hidden3': 271, 'nb_hidden2': 390, 'nb_hidden1': 26, 'mse': 878.17078, 'learning_rate': 0.00022466009214757555, 'keep_value': 0.57881216288514092, 'reg_scale': 2.1272151946553917e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 27, 'nb_hidden2': 335, 'nb_hidden1': 26, 'mse': 948.03699, 'learning_rate': 0.0080175383137034966, 'keep_value': 0.84930114445399707, 'reg_scale': 0.080664293716665822, 'nb_hidden_layer': 2}
{'nb_hidden3': 409, 'nb_hidden2': 262, 'nb_hidden1': 426, 'mse': 817.34674, 'learning_rate': 0.010496501067889798, 'keep_value': 0.98205812003913728, 'reg_scale': 0.00028340980434075869, 'nb_hidden_layer': 2}
{'nb_hidden3': 256, 'nb_hidden2': 347, 'nb_hidden1': 418, 'mse': 863.80023, 'learning_rate': 0.0037874107234896577, 'keep_value': 0.21822963709482646, 'reg_scale': 4.2833981711076331e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 410, 'nb_hidden2': 295, 'nb_hidden1': 325, 'mse': 854.46936, 'learning_rate': 0.0008655738018945845, 'keep_value': 0.096113750974525791, 'reg_scale': 7.3890980987204945e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 120, 'nb_hidden2': 123, 'nb_hidden1': 136, 'mse': 5644.5615, 'learning_rate': 1.1408762834166372e-05, 'keep_value': 0.91827250302775321, 'reg_scale': 5.4500261892010418, 'nb_hidden_layer': 3}
{'nb_hidden3': 120, 'nb_hidden2': 260, 'nb_hidden1': 160, 'mse': 988.90222, 'learning_rate': 0.10138576467497953, 'keep_value': 0.92239323561264097, 'reg_scale': 0.00019977982815684261, 'nb_hidden_layer': 2}
{'nb_hidden3': 444, 'nb_hidden2': 492, 'nb_hidden1': 487, 'mse': 837.9541, 'learning_rate': 2.4929250727716205e-05, 'keep_value': 0.96722991692487115, 'reg_scale': 2.7239267753160662e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 440, 'nb_hidden2': 397, 'nb_hidden1': 460, 'mse': 797.62463, 'learning_rate': 0.00013130526117427211, 'keep_value': 0.42392911331614225, 'reg_scale': 1.0262630423282667e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 361, 'nb_hidden2': 493, 'nb_hidden1': 474, 'mse': 990.29602, 'learning_rate': 0.023765837083330552, 'keep_value': 0.56730104209978538, 'reg_scale': 0.053371262115734168, 'nb_hidden_layer': 3}
{'nb_hidden3': 412, 'nb_hidden2': 154, 'nb_hidden1': 400, 'mse': 94298912.0, 'learning_rate': 95.130202039249255, 'keep_value': 0.79130325910790922, 'reg_scale': 0.00027958087099018853, 'nb_hidden_layer': 3}
