{'nb_hidden3': 479, 'nb_hidden2': 152, 'nb_hidden1': 41, 'mse': 381104.69, 'learning_rate': 34.01470815290989, 'keep_value': 0.71477941198086936, 'reg_scale': 0.0010572472657110372, 'nb_hidden_layer': 1}
{'nb_hidden3': 179, 'nb_hidden2': 495, 'nb_hidden1': 249, 'mse': 36.795799, 'learning_rate': 1.2257506289340302e-05, 'keep_value': 0.43098070016148526, 'reg_scale': 0.00081070868747386586, 'nb_hidden_layer': 2}
{'nb_hidden3': 299, 'nb_hidden2': 125, 'nb_hidden1': 329, 'mse': 76.21373, 'learning_rate': 0.041314032713076244, 'keep_value': 0.066280797013269499, 'reg_scale': 0.00021109388536963029, 'nb_hidden_layer': 2}
{'nb_hidden3': 232, 'nb_hidden2': 161, 'nb_hidden1': 279, 'mse': 436.46985, 'learning_rate': 0.16448807982759722, 'keep_value': 0.79324315995301975, 'reg_scale': 1.012176062084644e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 61, 'nb_hidden2': 156, 'nb_hidden1': 287, 'mse': 44197180.0, 'learning_rate': 92.368149694668517, 'keep_value': 0.52806377275314831, 'reg_scale': 1.3509736555044765, 'nb_hidden_layer': 1}
{'nb_hidden3': 214, 'nb_hidden2': 90, 'nb_hidden1': 280, 'mse': 64.260429, 'learning_rate': 0.00039949056012197675, 'keep_value': 0.85408594549976991, 'reg_scale': 0.048415948607102618, 'nb_hidden_layer': 3}
{'nb_hidden3': 34, 'nb_hidden2': 221, 'nb_hidden1': 82, 'mse': 1494.9427, 'learning_rate': 3.0502924039229984, 'keep_value': 0.64405596511857, 'reg_scale': 1.3178953093060115e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 143, 'nb_hidden2': 160, 'nb_hidden1': 186, 'mse': 139063.42, 'learning_rate': 4.7566315809525177, 'keep_value': 0.39325006386611805, 'reg_scale': 0.60911529137005327, 'nb_hidden_layer': 1}
{'nb_hidden3': 330, 'nb_hidden2': 51, 'nb_hidden1': 421, 'mse': 18746.834, 'learning_rate': 6.1036075192861441, 'keep_value': 0.7207999034416831, 'reg_scale': 0.35041793366856339, 'nb_hidden_layer': 2}
{'nb_hidden3': 464, 'nb_hidden2': 168, 'nb_hidden1': 85, 'mse': 317.83621, 'learning_rate': 1.3209237325399974, 'keep_value': 0.52136374088991833, 'reg_scale': 0.00094677220962025423, 'nb_hidden_layer': 3}
{'nb_hidden3': 448, 'nb_hidden2': 376, 'nb_hidden1': 203, 'mse': 169.78387, 'learning_rate': 0.18474731351919335, 'keep_value': 0.20278495100879024, 'reg_scale': 7.6012778867380777e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 307, 'nb_hidden2': 243, 'nb_hidden1': 469, 'mse': 79407.016, 'learning_rate': 14.501541320166057, 'keep_value': 0.21106594706413206, 'reg_scale': 8.5324925574824454e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 494, 'nb_hidden2': 8, 'nb_hidden1': 368, 'mse': 322.71484, 'learning_rate': 0.23606075936539364, 'keep_value': 0.2785768593047796, 'reg_scale': 2.2835386936930854e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 396, 'nb_hidden2': 308, 'nb_hidden1': 441, 'mse': 1126.4406, 'learning_rate': 0.47618726489506413, 'keep_value': 0.9644418936816358, 'reg_scale': 0.070733276748313437, 'nb_hidden_layer': 1}
{'nb_hidden3': 23, 'nb_hidden2': 137, 'nb_hidden1': 30, 'mse': 76.2798, 'learning_rate': 0.00038992207435742165, 'keep_value': 0.15512582517611118, 'reg_scale': 0.33637295671355083, 'nb_hidden_layer': 3}
{'nb_hidden3': 375, 'nb_hidden2': 307, 'nb_hidden1': 100, 'mse': 476.3699, 'learning_rate': 2.4218732680435795, 'keep_value': 0.065391090277244768, 'reg_scale': 1.3616963194636445e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 202, 'nb_hidden2': 6, 'nb_hidden1': 329, 'mse': 204.28047, 'learning_rate': 0.063164650887234761, 'keep_value': 0.037423849009081689, 'reg_scale': 0.0021368690482871638, 'nb_hidden_layer': 2}
{'nb_hidden3': 470, 'nb_hidden2': 74, 'nb_hidden1': 442, 'mse': 67602.836, 'learning_rate': 14.772742691953063, 'keep_value': 0.52934901077960117, 'reg_scale': 0.0017683851507976857, 'nb_hidden_layer': 3}
{'nb_hidden3': 122, 'nb_hidden2': 190, 'nb_hidden1': 101, 'mse': 72.29528, 'learning_rate': 0.001911836934763799, 'keep_value': 0.91641695799422906, 'reg_scale': 0.2235760866147983, 'nb_hidden_layer': 3}
{'nb_hidden3': 466, 'nb_hidden2': 324, 'nb_hidden1': 23, 'mse': 539122.0, 'learning_rate': 18.332539719052587, 'keep_value': 0.65982345341864757, 'reg_scale': 0.0042079294334153531, 'nb_hidden_layer': 2}
{'nb_hidden3': 365, 'nb_hidden2': 14, 'nb_hidden1': 354, 'mse': 5636.2114, 'learning_rate': 1.7183398239187976e-05, 'keep_value': 0.45895042014997367, 'reg_scale': 8.3282451083236613e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 217, 'nb_hidden2': 414, 'nb_hidden1': 50, 'mse': 45.426292, 'learning_rate': 8.8166530809327302e-05, 'keep_value': 0.29898851618037936, 'reg_scale': 5.8513479072001938e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 196, 'nb_hidden2': 167, 'nb_hidden1': 234, 'mse': 985183.0, 'learning_rate': 60.097418296169415, 'keep_value': 0.4019199622992482, 'reg_scale': 3.4169655806639929e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 212, 'nb_hidden2': 304, 'nb_hidden1': 206, 'mse': 200.65111, 'learning_rate': 0.060002074342418957, 'keep_value': 0.93586116203800829, 'reg_scale': 2.9890730572249015e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 263, 'nb_hidden2': 340, 'nb_hidden1': 75, 'mse': 54.729347, 'learning_rate': 0.00035772525183690765, 'keep_value': 0.872371440290166, 'reg_scale': 0.00063315979612100181, 'nb_hidden_layer': 2}
{'nb_hidden3': 210, 'nb_hidden2': 258, 'nb_hidden1': 431, 'mse': 32.561333, 'learning_rate': 1.7771146384128319e-05, 'keep_value': 0.052332012073742717, 'reg_scale': 0.031359546383469106, 'nb_hidden_layer': 2}
{'nb_hidden3': 222, 'nb_hidden2': 345, 'nb_hidden1': 169, 'mse': 67.837265, 'learning_rate': 0.0066277786130656425, 'keep_value': 0.40885690328990665, 'reg_scale': 0.0001527539462989941, 'nb_hidden_layer': 2}
{'nb_hidden3': 211, 'nb_hidden2': 314, 'nb_hidden1': 228, 'mse': 668.55426, 'learning_rate': 0.28935928032668684, 'keep_value': 0.87503116601509534, 'reg_scale': 0.00041300361614373884, 'nb_hidden_layer': 3}
{'nb_hidden3': 169, 'nb_hidden2': 151, 'nb_hidden1': 404, 'mse': 44.759327, 'learning_rate': 8.8206388842960301e-05, 'keep_value': 0.29293296033452254, 'reg_scale': 8.6847667344712535e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 446, 'nb_hidden2': 299, 'nb_hidden1': 22, 'mse': 61.333187, 'learning_rate': 0.00015247692289850197, 'keep_value': 0.89696671776020753, 'reg_scale': 0.061112415617360201, 'nb_hidden_layer': 2}
{'nb_hidden3': 171, 'nb_hidden2': 54, 'nb_hidden1': 315, 'mse': 143.69774, 'learning_rate': 0.010517086212771427, 'keep_value': 0.33555792435679477, 'reg_scale': 4.7947297829020998, 'nb_hidden_layer': 3}
{'nb_hidden3': 201, 'nb_hidden2': 287, 'nb_hidden1': 482, 'mse': 32.292435, 'learning_rate': 9.1760967708703794e-05, 'keep_value': 0.77642015027793432, 'reg_scale': 0.00010155396853188312, 'nb_hidden_layer': 3}
{'nb_hidden3': 181, 'nb_hidden2': 317, 'nb_hidden1': 454, 'mse': 306.23419, 'learning_rate': 0.23654655314243239, 'keep_value': 0.95010187901034671, 'reg_scale': 2.1213923785910457e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 35, 'nb_hidden2': 369, 'nb_hidden1': 316, 'mse': 73.086639, 'learning_rate': 0.00093685117593628002, 'keep_value': 0.58138952121937804, 'reg_scale': 2.6643974126173618e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 394, 'nb_hidden2': 398, 'nb_hidden1': 108, 'mse': 45.155678, 'learning_rate': 2.136651989603807e-05, 'keep_value': 0.27315603951771705, 'reg_scale': 5.2527252350526633e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 9, 'nb_hidden2': 464, 'nb_hidden1': 225, 'mse': 135.69698, 'learning_rate': 0.0010831656198648806, 'keep_value': 0.86231854504451744, 'reg_scale': 6.8163233879235454, 'nb_hidden_layer': 2}
{'nb_hidden3': 123, 'nb_hidden2': 381, 'nb_hidden1': 379, 'mse': 43.975193, 'learning_rate': 2.8981573533759767e-05, 'keep_value': 0.71407593611172437, 'reg_scale': 9.2425063788938689e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 137, 'nb_hidden2': 162, 'nb_hidden1': 187, 'mse': 83.02858, 'learning_rate': 0.037446766552660063, 'keep_value': 0.57960599053034778, 'reg_scale': 3.9638614757289202e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 345, 'nb_hidden2': 499, 'nb_hidden1': 72, 'mse': 62.13739, 'learning_rate': 0.03663200975125773, 'keep_value': 0.15434610380063962, 'reg_scale': 2.4533224654720219e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 30, 'nb_hidden2': 58, 'nb_hidden1': 129, 'mse': 15664.175, 'learning_rate': 8.2586667085587404, 'keep_value': 0.28362753476250024, 'reg_scale': 0.004989338702586785, 'nb_hidden_layer': 3}
{'nb_hidden3': 80, 'nb_hidden2': 404, 'nb_hidden1': 40, 'mse': 114.79793, 'learning_rate': 0.0046152495908783914, 'keep_value': 0.80203420384637003, 'reg_scale': 0.00067810187129199121, 'nb_hidden_layer': 1}
{'nb_hidden3': 425, 'nb_hidden2': 248, 'nb_hidden1': 52, 'mse': 223.91089, 'learning_rate': 0.028723615215206489, 'keep_value': 0.50287756810347539, 'reg_scale': 6.8496202909419646, 'nb_hidden_layer': 2}
{'nb_hidden3': 470, 'nb_hidden2': 138, 'nb_hidden1': 110, 'mse': 30.512156, 'learning_rate': 4.8145986700545109e-05, 'keep_value': 0.50481576275847062, 'reg_scale': 0.073758867430196648, 'nb_hidden_layer': 3}
{'nb_hidden3': 262, 'nb_hidden2': 306, 'nb_hidden1': 292, 'mse': 22.958511, 'learning_rate': 3.8188311402394499e-05, 'keep_value': 0.62778759450235899, 'reg_scale': 0.0062076607853227064, 'nb_hidden_layer': 2}
{'nb_hidden3': 461, 'nb_hidden2': 455, 'nb_hidden1': 431, 'mse': 20588396.0, 'learning_rate': 52.416918821230652, 'keep_value': 0.12788094423233254, 'reg_scale': 1.6162722122674364e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 70, 'nb_hidden2': 289, 'nb_hidden1': 162, 'mse': 57.01445, 'learning_rate': 0.00015101517729208412, 'keep_value': 0.52676422642590914, 'reg_scale': 0.81811194727430936, 'nb_hidden_layer': 3}
{'nb_hidden3': 347, 'nb_hidden2': 221, 'nb_hidden1': 432, 'mse': 74.395866, 'learning_rate': 0.0092235143027552431, 'keep_value': 0.45804921278245658, 'reg_scale': 1.4661320750472374e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 31, 'nb_hidden2': 347, 'nb_hidden1': 462, 'mse': 40.793575, 'learning_rate': 3.1911336362176366e-05, 'keep_value': 0.45799395362874529, 'reg_scale': 0.00015415424104738817, 'nb_hidden_layer': 1}
{'nb_hidden3': 221, 'nb_hidden2': 212, 'nb_hidden1': 95, 'mse': 3257.1938, 'learning_rate': 42.495605962900193, 'keep_value': 0.15921499677174789, 'reg_scale': 2.7588237227258776e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 54, 'nb_hidden2': 159, 'nb_hidden1': 193, 'mse': 350.87201, 'learning_rate': 0.12582373175612552, 'keep_value': 0.2893660336223024, 'reg_scale': 0.096123955324474972, 'nb_hidden_layer': 2}
{'nb_hidden3': 190, 'nb_hidden2': 413, 'nb_hidden1': 391, 'mse': 39488784.0, 'learning_rate': 55.46812915807071, 'keep_value': 0.62242199093333894, 'reg_scale': 0.36559871896672408, 'nb_hidden_layer': 1}
{'nb_hidden3': 18, 'nb_hidden2': 213, 'nb_hidden1': 176, 'mse': 77.023766, 'learning_rate': 0.00045207162501926433, 'keep_value': 0.84969501241100309, 'reg_scale': 0.69317029885180337, 'nb_hidden_layer': 2}
{'nb_hidden3': 173, 'nb_hidden2': 150, 'nb_hidden1': 107, 'mse': 320.66162, 'learning_rate': 0.60726780897492172, 'keep_value': 0.65652108355800531, 'reg_scale': 0.00099053856833223068, 'nb_hidden_layer': 3}
{'nb_hidden3': 68, 'nb_hidden2': 444, 'nb_hidden1': 58, 'mse': 69.819992, 'learning_rate': 0.00023058876887484175, 'keep_value': 0.9646925083564406, 'reg_scale': 1.5959710571783468, 'nb_hidden_layer': 3}
{'nb_hidden3': 299, 'nb_hidden2': 398, 'nb_hidden1': 244, 'mse': 253570.03, 'learning_rate': 3.5067071613918985, 'keep_value': 0.69973600243397927, 'reg_scale': 0.13385747350583063, 'nb_hidden_layer': 1}
{'nb_hidden3': 86, 'nb_hidden2': 118, 'nb_hidden1': 76, 'mse': 2210898.8, 'learning_rate': 39.234983532314395, 'keep_value': 0.27413860038911164, 'reg_scale': 0.00010733482175692874, 'nb_hidden_layer': 3}
{'nb_hidden3': 32, 'nb_hidden2': 41, 'nb_hidden1': 406, 'mse': 294.20197, 'learning_rate': 0.15909945137986933, 'keep_value': 0.55276204804436468, 'reg_scale': 0.0028999011548872045, 'nb_hidden_layer': 2}
{'nb_hidden3': 400, 'nb_hidden2': 303, 'nb_hidden1': 94, 'mse': 641.49207, 'learning_rate': 0.3551841166324442, 'keep_value': 0.51846309144040392, 'reg_scale': 0.16886448386457431, 'nb_hidden_layer': 3}
