{'nb_hidden3': 26, 'nb_hidden2': 84, 'nb_hidden1': 20, 'mse': 0.018468264, 'learning_rate': 0.0081765522662600298, 'keep_value': 0.50535865435903349, 'reg_scale': 0.00010218323563106695, 'nb_hidden_layer': 1}
{'nb_hidden3': 339, 'nb_hidden2': 46, 'nb_hidden1': 200, 'mse': 5.907712, 'learning_rate': 2.4601488847710064e-05, 'keep_value': 0.30679581353324281, 'reg_scale': 1.6483545357898453e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 61, 'nb_hidden2': 64, 'nb_hidden1': 388, 'mse': 75032.961, 'learning_rate': 39.755503707852938, 'keep_value': 0.56166077583335328, 'reg_scale': 3.1002426458773418e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 231, 'nb_hidden2': 277, 'nb_hidden1': 230, 'mse': 4110124.0, 'learning_rate': 85.721379332958151, 'keep_value': 0.49365411715239216, 'reg_scale': 0.00031500805108193353, 'nb_hidden_layer': 1}
{'nb_hidden3': 402, 'nb_hidden2': 162, 'nb_hidden1': 8, 'mse': 0.49651995, 'learning_rate': 6.5654934751076881e-05, 'keep_value': 0.58856191027234939, 'reg_scale': 0.002379701364341832, 'nb_hidden_layer': 3}
{'nb_hidden3': 411, 'nb_hidden2': 347, 'nb_hidden1': 272, 'mse': 0.0021342188, 'learning_rate': 5.9384160572704173e-05, 'keep_value': 0.65796711786594864, 'reg_scale': 5.5734716745351888e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 94, 'nb_hidden2': 474, 'nb_hidden1': 406, 'mse': 60.686462, 'learning_rate': 0.10397013446945676, 'keep_value': 0.93587277573766869, 'reg_scale': 2.0215372956439276e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 219, 'nb_hidden2': 458, 'nb_hidden1': 17, 'mse': 1024.8564, 'learning_rate': 5.0602125753237868, 'keep_value': 0.37876085253019143, 'reg_scale': 0.038508864546706677, 'nb_hidden_layer': 1}
{'nb_hidden3': 30, 'nb_hidden2': 77, 'nb_hidden1': 7, 'mse': 16.750525, 'learning_rate': 1.2066817556309537, 'keep_value': 0.30803786333640848, 'reg_scale': 0.033041334826133327, 'nb_hidden_layer': 3}
{'nb_hidden3': 446, 'nb_hidden2': 338, 'nb_hidden1': 341, 'mse': 0.018147942, 'learning_rate': 0.0001265502286937528, 'keep_value': 0.38179724132053749, 'reg_scale': 0.86984911591833081, 'nb_hidden_layer': 1}
{'nb_hidden3': 231, 'nb_hidden2': 388, 'nb_hidden1': 389, 'mse': 0.0052750912, 'learning_rate': 2.3138361978319234e-05, 'keep_value': 0.52540981288963784, 'reg_scale': 0.12928101030367101, 'nb_hidden_layer': 3}
