{'nb_hidden3': 71, 'nb_hidden2': 126, 'nb_hidden1': 42, 'mse': 1.2157834e+08, 'learning_rate': 7.9089796970897108, 'keep_value': 0.51717292155458239, 'reg_scale': 0.36143684384642422, 'nb_hidden_layer': 1}
{'nb_hidden3': 83, 'nb_hidden2': 48, 'nb_hidden1': 472, 'mse': 1.3040521e+08, 'learning_rate': 1.4516412584132862e-05, 'keep_value': 0.017283603371291645, 'reg_scale': 0.00096655110535313405, 'nb_hidden_layer': 3}
{'nb_hidden3': 161, 'nb_hidden2': 425, 'nb_hidden1': 82, 'mse': 1.2105815e+08, 'learning_rate': 10.132331495414034, 'keep_value': 0.46126659517839996, 'reg_scale': 0.00061323604969324797, 'nb_hidden_layer': 1}
{'nb_hidden3': 57, 'nb_hidden2': 258, 'nb_hidden1': 305, 'mse': 1.2992698e+08, 'learning_rate': 3.0266541310153349e-05, 'keep_value': 0.98420457082809842, 'reg_scale': 0.012067661677448171, 'nb_hidden_layer': 3}
{'nb_hidden3': 231, 'nb_hidden2': 200, 'nb_hidden1': 11, 'mse': 1.2121734e+08, 'learning_rate': 0.025681186875673574, 'keep_value': 0.2773044646708146, 'reg_scale': 0.0010826602346812209, 'nb_hidden_layer': 1}
{'nb_hidden3': 163, 'nb_hidden2': 445, 'nb_hidden1': 16, 'mse': 1.207941e+08, 'learning_rate': 1.1401932908694017, 'keep_value': 0.45741434071553744, 'reg_scale': 1.1563559258142682e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 428, 'nb_hidden2': 350, 'nb_hidden1': 486, 'mse': 1.2708777e+08, 'learning_rate': 26.893790855685314, 'keep_value': 0.35827088724024847, 'reg_scale': 1.0285623370346031, 'nb_hidden_layer': 1}
{'nb_hidden3': 64, 'nb_hidden2': 278, 'nb_hidden1': 389, 'mse': 1.2073772e+08, 'learning_rate': 0.033377807987386432, 'keep_value': 0.50182872732431971, 'reg_scale': 1.9783810284430968e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 77, 'nb_hidden2': 283, 'nb_hidden1': 427, 'mse': 1.2084059e+08, 'learning_rate': 1.0636775478479852, 'keep_value': 0.22549699922031419, 'reg_scale': 3.2449155751115844e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 491, 'nb_hidden2': 281, 'nb_hidden1': 259, 'mse': 1.2083528e+08, 'learning_rate': 0.24771721090413384, 'keep_value': 0.95311351858092019, 'reg_scale': 0.0075517942862437064, 'nb_hidden_layer': 2}
{'nb_hidden3': 142, 'nb_hidden2': 359, 'nb_hidden1': 163, 'mse': 1.2097684e+08, 'learning_rate': 0.058776113443275373, 'keep_value': 0.98716550901812561, 'reg_scale': 0.035687711110131408, 'nb_hidden_layer': 2}
{'nb_hidden3': 467, 'nb_hidden2': 170, 'nb_hidden1': 319, 'mse': 1.2079563e+08, 'learning_rate': 3.5153200249408205, 'keep_value': 0.82771824489194878, 'reg_scale': 7.7175140437451607e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 254, 'nb_hidden2': 428, 'nb_hidden1': 57, 'mse': 1.2082376e+08, 'learning_rate': 2.4610002570051028, 'keep_value': 0.9538366248336918, 'reg_scale': 6.9756098995432322e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 128, 'nb_hidden2': 223, 'nb_hidden1': 79, 'mse': 1.2307774e+08, 'learning_rate': 0.008000330630472589, 'keep_value': 0.55408122234824952, 'reg_scale': 1.8154567540902751e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 319, 'nb_hidden2': 467, 'nb_hidden1': 73, 'mse': 1.21009e+08, 'learning_rate': 0.014945584119609062, 'keep_value': 0.87388028043774069, 'reg_scale': 1.0599104287747814, 'nb_hidden_layer': 3}
{'nb_hidden3': 385, 'nb_hidden2': 124, 'nb_hidden1': 364, 'mse': 1.2078934e+08, 'learning_rate': 0.0030129436950210339, 'keep_value': 0.71345641692896422, 'reg_scale': 0.046289021547301419, 'nb_hidden_layer': 3}
{'nb_hidden3': 322, 'nb_hidden2': 214, 'nb_hidden1': 424, 'mse': 1.2254818e+08, 'learning_rate': 12.707716599896964, 'keep_value': 0.18674429544785542, 'reg_scale': 0.0013249447551337409, 'nb_hidden_layer': 2}
{'nb_hidden3': 351, 'nb_hidden2': 358, 'nb_hidden1': 195, 'mse': 1.2085861e+08, 'learning_rate': 0.10455386590832912, 'keep_value': 0.33677545184931568, 'reg_scale': 1.0815820713938039e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 128, 'nb_hidden2': 75, 'nb_hidden1': 244, 'mse': 1.2088689e+08, 'learning_rate': 10.038867185935995, 'keep_value': 0.41810699140321506, 'reg_scale': 1.4092066770240124, 'nb_hidden_layer': 1}
{'nb_hidden3': 199, 'nb_hidden2': 102, 'nb_hidden1': 230, 'mse': 1.4990414e+08, 'learning_rate': 50.766500366688426, 'keep_value': 0.85351418704035442, 'reg_scale': 8.2816430998352281e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 494, 'nb_hidden2': 198, 'nb_hidden1': 248, 'mse': 1.2079088e+08, 'learning_rate': 0.12643693179807847, 'keep_value': 0.94139611268758483, 'reg_scale': 1.6334219056298038e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 470, 'nb_hidden2': 379, 'nb_hidden1': 289, 'mse': 1.2070198e+08, 'learning_rate': 0.017653887496002038, 'keep_value': 0.81586228231995594, 'reg_scale': 3.7265884903830054e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 74, 'nb_hidden2': 12, 'nb_hidden1': 252, 'mse': 1.214877e+08, 'learning_rate': 0.075726756165769349, 'keep_value': 0.3448901900251572, 'reg_scale': 3.6100593223668453, 'nb_hidden_layer': 1}
{'nb_hidden3': 279, 'nb_hidden2': 235, 'nb_hidden1': 41, 'mse': 1.2073392e+08, 'learning_rate': 0.080179888691397319, 'keep_value': 0.95881158328277583, 'reg_scale': 0.04782406367679283, 'nb_hidden_layer': 1}
{'nb_hidden3': 175, 'nb_hidden2': 385, 'nb_hidden1': 117, 'mse': 1.2659342e+08, 'learning_rate': 16.278873972641946, 'keep_value': 0.66795486945303151, 'reg_scale': 0.0010098956035163333, 'nb_hidden_layer': 2}
{'nb_hidden3': 492, 'nb_hidden2': 260, 'nb_hidden1': 275, 'mse': 1.209912e+08, 'learning_rate': 0.0705151037443843, 'keep_value': 0.87576079172798338, 'reg_scale': 1.4582385880048143, 'nb_hidden_layer': 3}
{'nb_hidden3': 99, 'nb_hidden2': 373, 'nb_hidden1': 72, 'mse': 1.2685966e+08, 'learning_rate': 1.3396950359225149e-05, 'keep_value': 0.36547034398491351, 'reg_scale': 0.0019876557246851709, 'nb_hidden_layer': 2}
{'nb_hidden3': 189, 'nb_hidden2': 471, 'nb_hidden1': 305, 'mse': 1.2617248e+08, 'learning_rate': 4.4136591305521364e-05, 'keep_value': 0.38889044758342617, 'reg_scale': 3.5540262161288609e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 362, 'nb_hidden2': 22, 'nb_hidden1': 131, 'mse': 1.2121862e+08, 'learning_rate': 5.1014437402152356e-05, 'keep_value': 0.20250339954690422, 'reg_scale': 3.0173579247644981e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 162, 'nb_hidden2': 264, 'nb_hidden1': 334, 'mse': 1.2087935e+08, 'learning_rate': 0.13979545584953768, 'keep_value': 0.3390895042966231, 'reg_scale': 6.8176831325007659e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 281, 'nb_hidden2': 279, 'nb_hidden1': 424, 'mse': 1.2910873e+08, 'learning_rate': 21.128581717272031, 'keep_value': 0.78099813289513831, 'reg_scale': 0.091897566361713812, 'nb_hidden_layer': 2}
{'nb_hidden3': 438, 'nb_hidden2': 291, 'nb_hidden1': 433, 'mse': 1.209689e+08, 'learning_rate': 0.012520826033520017, 'keep_value': 0.46660378225969668, 'reg_scale': 0.034476824656132006, 'nb_hidden_layer': 2}
{'nb_hidden3': 465, 'nb_hidden2': 394, 'nb_hidden1': 489, 'mse': 1.279933e+08, 'learning_rate': 1.0175562028543715e-05, 'keep_value': 0.74205853630536223, 'reg_scale': 0.049606271183766176, 'nb_hidden_layer': 2}
{'nb_hidden3': 316, 'nb_hidden2': 125, 'nb_hidden1': 48, 'mse': 1.2108925e+08, 'learning_rate': 6.1747833828731813e-05, 'keep_value': 0.5228146687769647, 'reg_scale': 0.00021033144818423044, 'nb_hidden_layer': 3}
{'nb_hidden3': 110, 'nb_hidden2': 270, 'nb_hidden1': 480, 'mse': 1.2085789e+08, 'learning_rate': 8.8799020347603568e-05, 'keep_value': 0.067824245555778151, 'reg_scale': 0.34866521927793476, 'nb_hidden_layer': 2}
