{'nb_hidden3': 395, 'nb_hidden2': 403, 'nb_hidden1': 206, 'mse': 0.030836068, 'learning_rate': 0.00012332925237580855, 'keep_value': 0.5517683263333274, 'reg_scale': 3.9391897206511074e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 339, 'nb_hidden2': 81, 'nb_hidden1': 332, 'mse': 0.28045949, 'learning_rate': 0.080283381434558598, 'keep_value': 0.95139767523406804, 'reg_scale': 0.036852602889537109, 'nb_hidden_layer': 1}
{'nb_hidden3': 238, 'nb_hidden2': 172, 'nb_hidden1': 147, 'mse': 0.10221583, 'learning_rate': 0.0092458347494215887, 'keep_value': 0.36360524192377686, 'reg_scale': 3.1981535133700635e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 301, 'nb_hidden2': 45, 'nb_hidden1': 284, 'mse': 1085525.2, 'learning_rate': 53.89061193643208, 'keep_value': 0.040725235751333577, 'reg_scale': 0.083847538179488534, 'nb_hidden_layer': 2}
{'nb_hidden3': 248, 'nb_hidden2': 404, 'nb_hidden1': 108, 'mse': 17722.012, 'learning_rate': 34.45696583139167, 'keep_value': 0.27667486805743402, 'reg_scale': 6.5530990624219498, 'nb_hidden_layer': 1}
{'nb_hidden3': 499, 'nb_hidden2': 261, 'nb_hidden1': 213, 'mse': 38.470474, 'learning_rate': 1.3095228087543357e-05, 'keep_value': 0.84649975449577153, 'reg_scale': 0.028780740374330756, 'nb_hidden_layer': 1}
{'nb_hidden3': 207, 'nb_hidden2': 46, 'nb_hidden1': 16, 'mse': 58874.191, 'learning_rate': 4.6814150653838995, 'keep_value': 0.90804634493302006, 'reg_scale': 0.69881656037922912, 'nb_hidden_layer': 3}
{'nb_hidden3': 440, 'nb_hidden2': 282, 'nb_hidden1': 44, 'mse': 1236081.4, 'learning_rate': 13.401088650434234, 'keep_value': 0.68746308188456806, 'reg_scale': 1.4258222854454753e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 321, 'nb_hidden2': 256, 'nb_hidden1': 93, 'mse': 0.0091385376, 'learning_rate': 0.0046721927076174832, 'keep_value': 0.64017517852035799, 'reg_scale': 1.7706641384059316e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 466, 'nb_hidden2': 39, 'nb_hidden1': 261, 'mse': 1049.8263, 'learning_rate': 2.0789743953499915, 'keep_value': 0.97807707528722743, 'reg_scale': 8.2622680011740091, 'nb_hidden_layer': 1}
{'nb_hidden3': 373, 'nb_hidden2': 55, 'nb_hidden1': 323, 'mse': 0.005929823, 'learning_rate': 0.0020773659465730281, 'keep_value': 0.90736337530192679, 'reg_scale': 1.5283687089284938e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 450, 'nb_hidden2': 434, 'nb_hidden1': 474, 'mse': 0.31140235, 'learning_rate': 0.0033348458593549964, 'keep_value': 0.51029174388071563, 'reg_scale': 0.38581594333638158, 'nb_hidden_layer': 2}
{'nb_hidden3': 48, 'nb_hidden2': 384, 'nb_hidden1': 309, 'mse': 31.170322, 'learning_rate': 6.2545809137907522, 'keep_value': 0.91674375611937398, 'reg_scale': 5.0927140803128207e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 320, 'nb_hidden2': 10, 'nb_hidden1': 103, 'mse': 341734.59, 'learning_rate': 12.120389827358105, 'keep_value': 0.22791783528034137, 'reg_scale': 6.0555287418292747e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 404, 'nb_hidden2': 246, 'nb_hidden1': 141, 'mse': 70.270645, 'learning_rate': 1.8157436427889757e-05, 'keep_value': 0.68066784625540167, 'reg_scale': 0.00010861505310797414, 'nb_hidden_layer': 1}
{'nb_hidden3': 29, 'nb_hidden2': 399, 'nb_hidden1': 286, 'mse': 0.0040947469, 'learning_rate': 0.00037876979734751564, 'keep_value': 0.75554364736012203, 'reg_scale': 1.0090542845686307e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 364, 'nb_hidden2': 176, 'nb_hidden1': 57, 'mse': 6.8615613, 'learning_rate': 1.9100204810051145e-05, 'keep_value': 0.16335714992203021, 'reg_scale': 0.79430262147949393, 'nb_hidden_layer': 1}
{'nb_hidden3': 79, 'nb_hidden2': 444, 'nb_hidden1': 106, 'mse': 0.0043337648, 'learning_rate': 0.00054924046544697533, 'keep_value': 0.43641698975027576, 'reg_scale': 3.335525907384822e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 287, 'nb_hidden2': 397, 'nb_hidden1': 453, 'mse': 0.23027679, 'learning_rate': 0.010704804251589669, 'keep_value': 0.23856914205890112, 'reg_scale': 0.011515256098460191, 'nb_hidden_layer': 2}
{'nb_hidden3': 242, 'nb_hidden2': 382, 'nb_hidden1': 7, 'mse': 39.384907, 'learning_rate': 17.409357491799042, 'keep_value': 0.65306522075122464, 'reg_scale': 4.0623636778302763e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 55, 'nb_hidden2': 375, 'nb_hidden1': 82, 'mse': 0.31230351, 'learning_rate': 0.064470074629307733, 'keep_value': 0.82750333685990307, 'reg_scale': 0.74746026203069316, 'nb_hidden_layer': 1}
{'nb_hidden3': 205, 'nb_hidden2': 457, 'nb_hidden1': 224, 'mse': 3409445.2, 'learning_rate': 60.898732794319905, 'keep_value': 0.20648998416787578, 'reg_scale': 0.22146951673883652, 'nb_hidden_layer': 3}
{'nb_hidden3': 415, 'nb_hidden2': 257, 'nb_hidden1': 54, 'mse': 2.2507191, 'learning_rate': 0.078499394983504445, 'keep_value': 0.1292329423512939, 'reg_scale': 6.7430409317243318e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 494, 'nb_hidden2': 123, 'nb_hidden1': 408, 'mse': 7538732.5, 'learning_rate': 49.810389776323831, 'keep_value': 0.26542048704461285, 'reg_scale': 0.00015152605506070399, 'nb_hidden_layer': 1}
{'nb_hidden3': 312, 'nb_hidden2': 116, 'nb_hidden1': 238, 'mse': 33.957752, 'learning_rate': 0.56338880968822413, 'keep_value': 0.83288246571711078, 'reg_scale': 0.087299216420520617, 'nb_hidden_layer': 1}
{'nb_hidden3': 138, 'nb_hidden2': 71, 'nb_hidden1': 406, 'mse': 0.95376807, 'learning_rate': 0.35527320895030501, 'keep_value': 0.47847943949409133, 'reg_scale': 0.013175036923284344, 'nb_hidden_layer': 2}
{'nb_hidden3': 247, 'nb_hidden2': 270, 'nb_hidden1': 45, 'mse': 0.21751453, 'learning_rate': 0.00043236724145350602, 'keep_value': 0.11352598583784879, 'reg_scale': 0.05789798231787073, 'nb_hidden_layer': 1}
{'nb_hidden3': 226, 'nb_hidden2': 296, 'nb_hidden1': 391, 'mse': 3.9818089, 'learning_rate': 0.099756730910812372, 'keep_value': 0.75303739507256395, 'reg_scale': 2.8941620054925961e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 254, 'nb_hidden2': 169, 'nb_hidden1': 419, 'mse': 0.17324945, 'learning_rate': 0.0091598568243791059, 'keep_value': 0.2367996614937975, 'reg_scale': 8.3485721894054503e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 280, 'nb_hidden2': 467, 'nb_hidden1': 125, 'mse': 34185.363, 'learning_rate': 22.015229689839142, 'keep_value': 0.46858642198361988, 'reg_scale': 6.8459876512367277, 'nb_hidden_layer': 1}
{'nb_hidden3': 205, 'nb_hidden2': 96, 'nb_hidden1': 156, 'mse': 0.19118683, 'learning_rate': 0.01505510400788646, 'keep_value': 0.0046927055799677042, 'reg_scale': 1.8120915061431671e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 205, 'nb_hidden2': 72, 'nb_hidden1': 376, 'mse': 9044845.0, 'learning_rate': 33.324132655859053, 'keep_value': 0.44009666021172089, 'reg_scale': 0.5959282929437667, 'nb_hidden_layer': 3}
{'nb_hidden3': 101, 'nb_hidden2': 44, 'nb_hidden1': 118, 'mse': 2176.175, 'learning_rate': 2.6634431399832077, 'keep_value': 0.54090716492661395, 'reg_scale': 0.013697386305486779, 'nb_hidden_layer': 3}
{'nb_hidden3': 423, 'nb_hidden2': 299, 'nb_hidden1': 474, 'mse': 17.161114, 'learning_rate': 5.5660646526004323, 'keep_value': 0.95272168370253585, 'reg_scale': 5.8606786275054529e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 484, 'nb_hidden2': 50, 'nb_hidden1': 391, 'mse': 310.564, 'learning_rate': 0.84576259965744971, 'keep_value': 0.89884828841172504, 'reg_scale': 0.17440047771171768, 'nb_hidden_layer': 2}
{'nb_hidden3': 94, 'nb_hidden2': 352, 'nb_hidden1': 485, 'mse': 1.1085798, 'learning_rate': 0.63165037674383084, 'keep_value': 0.25519948231523315, 'reg_scale': 2.3917626163490987e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 492, 'nb_hidden2': 160, 'nb_hidden1': 206, 'mse': 2.9178958, 'learning_rate': 0.67709921869634737, 'keep_value': 0.50095482821442117, 'reg_scale': 1.3324732937600621e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 91, 'nb_hidden2': 477, 'nb_hidden1': 49, 'mse': 291.61267, 'learning_rate': 1.0138180353609791, 'keep_value': 0.92126642060797326, 'reg_scale': 2.2990445715877592, 'nb_hidden_layer': 2}
{'nb_hidden3': 235, 'nb_hidden2': 111, 'nb_hidden1': 236, 'mse': 0.0066894786, 'learning_rate': 0.00081485620826959578, 'keep_value': 0.31325780942370063, 'reg_scale': 4.7506379422416041e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 346, 'nb_hidden2': 269, 'nb_hidden1': 472, 'mse': 363803.34, 'learning_rate': 18.62539056229663, 'keep_value': 0.43662043400951278, 'reg_scale': 0.0002953940519147495, 'nb_hidden_layer': 3}
{'nb_hidden3': 277, 'nb_hidden2': 134, 'nb_hidden1': 231, 'mse': 0.0040049339, 'learning_rate': 0.0001146733664405868, 'keep_value': 0.99526402226822297, 'reg_scale': 0.0010537675487907051, 'nb_hidden_layer': 3}
{'nb_hidden3': 89, 'nb_hidden2': 341, 'nb_hidden1': 185, 'mse': 9310.5264, 'learning_rate': 7.3781883160066712, 'keep_value': 0.52678881039285597, 'reg_scale': 1.076186113179663e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 147, 'nb_hidden2': 456, 'nb_hidden1': 364, 'mse': 0.23024514, 'learning_rate': 0.00039323663417734198, 'keep_value': 0.83822269626053314, 'reg_scale': 4.5813890124841841, 'nb_hidden_layer': 1}
{'nb_hidden3': 131, 'nb_hidden2': 433, 'nb_hidden1': 45, 'mse': 0.064439386, 'learning_rate': 0.019501662660704615, 'keep_value': 0.74981236452412714, 'reg_scale': 4.8946404239279927e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 356, 'nb_hidden2': 339, 'nb_hidden1': 175, 'mse': 0.0069395537, 'learning_rate': 0.00013070763611146489, 'keep_value': 0.98522756098705555, 'reg_scale': 1.2188602670026261e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 458, 'nb_hidden2': 213, 'nb_hidden1': 125, 'mse': 0.37697729, 'learning_rate': 0.0084642255087545529, 'keep_value': 0.21142258232635969, 'reg_scale': 7.9306798431596217, 'nb_hidden_layer': 3}
{'nb_hidden3': 173, 'nb_hidden2': 8, 'nb_hidden1': 14, 'mse': 0.0024528832, 'learning_rate': 0.0066633503356406725, 'keep_value': 0.83538363377826197, 'reg_scale': 0.0005069262100315078, 'nb_hidden_layer': 1}
{'nb_hidden3': 337, 'nb_hidden2': 129, 'nb_hidden1': 477, 'mse': 0.064220086, 'learning_rate': 0.0016601641870930828, 'keep_value': 0.29697510963145801, 'reg_scale': 3.6021904838443615e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 182, 'nb_hidden2': 199, 'nb_hidden1': 26, 'mse': 5880957.5, 'learning_rate': 64.675032587057032, 'keep_value': 0.93830853643238732, 'reg_scale': 1.9149657758572094, 'nb_hidden_layer': 3}
{'nb_hidden3': 195, 'nb_hidden2': 29, 'nb_hidden1': 123, 'mse': 2.5926535, 'learning_rate': 7.9820468465908336e-05, 'keep_value': 0.62802594396484746, 'reg_scale': 6.5527364375203208, 'nb_hidden_layer': 2}
