{'nb_hidden3': 226, 'nb_hidden2': 230, 'nb_hidden1': 439, 'mse': 384563.78, 'learning_rate': 23.492410899227732, 'keep_value': 0.41077197107175467, 'reg_scale': 4.4003654228527163, 'nb_hidden_layer': 3}
{'nb_hidden3': 58, 'nb_hidden2': 203, 'nb_hidden1': 395, 'mse': 650.94214, 'learning_rate': 12.684248007379157, 'keep_value': 0.21890829490907671, 'reg_scale': 4.2138974894547144e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 446, 'nb_hidden2': 440, 'nb_hidden1': 448, 'mse': 10547936.0, 'learning_rate': 11.875685008093479, 'keep_value': 0.49715852788519355, 'reg_scale': 0.54797808860608521, 'nb_hidden_layer': 1}
{'nb_hidden3': 172, 'nb_hidden2': 332, 'nb_hidden1': 421, 'mse': 20846068.0, 'learning_rate': 26.252651187381172, 'keep_value': 0.39864004654593987, 'reg_scale': 0.42502043477314611, 'nb_hidden_layer': 2}
{'nb_hidden3': 391, 'nb_hidden2': 370, 'nb_hidden1': 354, 'mse': 1.0410926, 'learning_rate': 1.9225061904132655e-05, 'keep_value': 0.83174155092165114, 'reg_scale': 0.00014083912191273766, 'nb_hidden_layer': 1}
{'nb_hidden3': 325, 'nb_hidden2': 286, 'nb_hidden1': 438, 'mse': 0.14101739, 'learning_rate': 0.00013852605213741879, 'keep_value': 0.2464675865627074, 'reg_scale': 1.744642049554095e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 42, 'nb_hidden2': 162, 'nb_hidden1': 230, 'mse': 150373.3, 'learning_rate': 24.474634314688171, 'keep_value': 0.86294757361215579, 'reg_scale': 0.20717912463818466, 'nb_hidden_layer': 2}
{'nb_hidden3': 230, 'nb_hidden2': 20, 'nb_hidden1': 185, 'mse': 0.14515725, 'learning_rate': 0.0050862902023606806, 'keep_value': 0.974638399515801, 'reg_scale': 9.4144941365120326e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 181, 'nb_hidden2': 86, 'nb_hidden1': 29, 'mse': 0.14178383, 'learning_rate': 0.036912606872286577, 'keep_value': 0.7762999000116112, 'reg_scale': 8.0965096110486558e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 398, 'nb_hidden2': 308, 'nb_hidden1': 475, 'mse': 1097211.5, 'learning_rate': 33.966455268236487, 'keep_value': 0.046042749661709514, 'reg_scale': 3.5113185112035408e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 67, 'nb_hidden2': 54, 'nb_hidden1': 475, 'mse': 692554.75, 'learning_rate': 1.460851815376859, 'keep_value': 0.39544499514931108, 'reg_scale': 0.031730818222679827, 'nb_hidden_layer': 1}
{'nb_hidden3': 147, 'nb_hidden2': 310, 'nb_hidden1': 416, 'mse': 2.1653256, 'learning_rate': 0.049925203906879503, 'keep_value': 0.43201452829713149, 'reg_scale': 1.0380232631049564, 'nb_hidden_layer': 3}
{'nb_hidden3': 71, 'nb_hidden2': 325, 'nb_hidden1': 57, 'mse': 0.3768658, 'learning_rate': 4.9361194879590916e-05, 'keep_value': 0.076504975094602967, 'reg_scale': 0.57151883101449308, 'nb_hidden_layer': 1}
{'nb_hidden3': 453, 'nb_hidden2': 143, 'nb_hidden1': 90, 'mse': 0.041738793, 'learning_rate': 0.00010763114980531244, 'keep_value': 0.39918258681146979, 'reg_scale': 0.00044280478788710965, 'nb_hidden_layer': 1}
{'nb_hidden3': 147, 'nb_hidden2': 71, 'nb_hidden1': 42, 'mse': 0.046731267, 'learning_rate': 0.00014103785238337615, 'keep_value': 0.21166152601162347, 'reg_scale': 1.0612363125824776e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 7, 'nb_hidden2': 122, 'nb_hidden1': 151, 'mse': 4563.5825, 'learning_rate': 21.189190662775612, 'keep_value': 0.93278972762958301, 'reg_scale': 0.00052488418545454721, 'nb_hidden_layer': 3}
{'nb_hidden3': 437, 'nb_hidden2': 291, 'nb_hidden1': 24, 'mse': 1863.3071, 'learning_rate': 19.632761610831, 'keep_value': 0.10601496463935467, 'reg_scale': 0.00058417182611731656, 'nb_hidden_layer': 1}
{'nb_hidden3': 166, 'nb_hidden2': 104, 'nb_hidden1': 44, 'mse': 66360.797, 'learning_rate': 21.30093538593788, 'keep_value': 0.057464926184750409, 'reg_scale': 0.00021093430310344504, 'nb_hidden_layer': 1}
{'nb_hidden3': 371, 'nb_hidden2': 106, 'nb_hidden1': 31, 'mse': 0.65811133, 'learning_rate': 1.3356711375641305e-05, 'keep_value': 0.27153743879100822, 'reg_scale': 0.002644089671087731, 'nb_hidden_layer': 1}
{'nb_hidden3': 339, 'nb_hidden2': 240, 'nb_hidden1': 476, 'mse': 12339.024, 'learning_rate': 14.866129080898503, 'keep_value': 0.45006788322946933, 'reg_scale': 4.2491835833911112e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 363, 'nb_hidden2': 200, 'nb_hidden1': 21, 'mse': 402522.56, 'learning_rate': 92.75395547131771, 'keep_value': 0.16089747468508309, 'reg_scale': 0.19728045882772047, 'nb_hidden_layer': 1}
{'nb_hidden3': 420, 'nb_hidden2': 100, 'nb_hidden1': 424, 'mse': 0.37338978, 'learning_rate': 3.700323039208136e-05, 'keep_value': 0.15695551787684592, 'reg_scale': 0.00065462147324834327, 'nb_hidden_layer': 1}
{'nb_hidden3': 420, 'nb_hidden2': 24, 'nb_hidden1': 222, 'mse': 0.041706391, 'learning_rate': 3.8030461817735875e-05, 'keep_value': 0.18856078148547739, 'reg_scale': 0.00016164807975759988, 'nb_hidden_layer': 2}
{'nb_hidden3': 261, 'nb_hidden2': 247, 'nb_hidden1': 164, 'mse': 0.050287068, 'learning_rate': 0.00047050173648411757, 'keep_value': 0.57694334158220395, 'reg_scale': 6.6069453991388283, 'nb_hidden_layer': 3}
{'nb_hidden3': 74, 'nb_hidden2': 322, 'nb_hidden1': 413, 'mse': 0.073846243, 'learning_rate': 0.01550619945752856, 'keep_value': 0.81368948281244269, 'reg_scale': 0.00020983982595984454, 'nb_hidden_layer': 3}
{'nb_hidden3': 354, 'nb_hidden2': 208, 'nb_hidden1': 26, 'mse': 0.60005939, 'learning_rate': 0.038032210523568977, 'keep_value': 0.0047994746790267495, 'reg_scale': 0.00075860505818320584, 'nb_hidden_layer': 2}
{'nb_hidden3': 110, 'nb_hidden2': 136, 'nb_hidden1': 271, 'mse': 2.3643849, 'learning_rate': 0.031637002194465649, 'keep_value': 0.77212773942496127, 'reg_scale': 1.0924158492555063e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 18, 'nb_hidden2': 99, 'nb_hidden1': 7, 'mse': 0.14372467, 'learning_rate': 0.021100393186802353, 'keep_value': 0.87589780852895383, 'reg_scale': 2.1366318827390895e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 403, 'nb_hidden2': 274, 'nb_hidden1': 349, 'mse': 0.15844463, 'learning_rate': 0.003985347199885231, 'keep_value': 0.46330801019773893, 'reg_scale': 0.074945523347869331, 'nb_hidden_layer': 2}
{'nb_hidden3': 328, 'nb_hidden2': 465, 'nb_hidden1': 184, 'mse': 0.46367615, 'learning_rate': 1.5578384191629206e-05, 'keep_value': 0.54516376491332041, 'reg_scale': 6.5156891340315053e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 7, 'nb_hidden2': 143, 'nb_hidden1': 257, 'mse': 1513.6774, 'learning_rate': 0.87077770202044524, 'keep_value': 0.63898078750952914, 'reg_scale': 1.2607185238166022e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 394, 'nb_hidden2': 171, 'nb_hidden1': 498, 'mse': 2391231.5, 'learning_rate': 6.0162461918307564, 'keep_value': 0.46322607252850134, 'reg_scale': 1.0552261942871461, 'nb_hidden_layer': 1}
{'nb_hidden3': 208, 'nb_hidden2': 180, 'nb_hidden1': 24, 'mse': 0.14963718, 'learning_rate': 0.0024757085758140653, 'keep_value': 0.077109003183217117, 'reg_scale': 3.2638617439349544, 'nb_hidden_layer': 2}
{'nb_hidden3': 385, 'nb_hidden2': 355, 'nb_hidden1': 320, 'mse': 12556356.0, 'learning_rate': 78.20618946498405, 'keep_value': 0.20568841887747991, 'reg_scale': 0.0017130055280120829, 'nb_hidden_layer': 3}
{'nb_hidden3': 189, 'nb_hidden2': 423, 'nb_hidden1': 82, 'mse': 0.10627379, 'learning_rate': 0.00015881199471607976, 'keep_value': 0.45607005321618199, 'reg_scale': 1.0833233634660613e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 207, 'nb_hidden2': 285, 'nb_hidden1': 390, 'mse': 134819.2, 'learning_rate': 4.5126329446257847, 'keep_value': 0.53112237789823957, 'reg_scale': 3.605177876737609, 'nb_hidden_layer': 2}
{'nb_hidden3': 446, 'nb_hidden2': 252, 'nb_hidden1': 182, 'mse': 0.042262934, 'learning_rate': 0.00042102572442996838, 'keep_value': 0.1852036779046996, 'reg_scale': 0.038275301130522861, 'nb_hidden_layer': 1}
{'nb_hidden3': 447, 'nb_hidden2': 240, 'nb_hidden1': 481, 'mse': 0.044256303, 'learning_rate': 0.00047955016002501763, 'keep_value': 0.55044068129787549, 'reg_scale': 0.088864258722167674, 'nb_hidden_layer': 3}
{'nb_hidden3': 173, 'nb_hidden2': 121, 'nb_hidden1': 458, 'mse': 0.047341626, 'learning_rate': 2.1791727602511385e-05, 'keep_value': 0.060739759710344177, 'reg_scale': 1.3718317372122289e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 50, 'nb_hidden2': 149, 'nb_hidden1': 389, 'mse': 81763.023, 'learning_rate': 77.368631604181388, 'keep_value': 0.40889890668008444, 'reg_scale': 9.6296327182299701e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 393, 'nb_hidden2': 338, 'nb_hidden1': 248, 'mse': 0.22862053, 'learning_rate': 0.0054764156758517792, 'keep_value': 0.28359511149145, 'reg_scale': 0.0009913086845625297, 'nb_hidden_layer': 2}
{'nb_hidden3': 249, 'nb_hidden2': 294, 'nb_hidden1': 446, 'mse': 68984.594, 'learning_rate': 7.6826455102805156, 'keep_value': 0.37245012157145374, 'reg_scale': 1.229844407121557e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 130, 'nb_hidden2': 258, 'nb_hidden1': 197, 'mse': 0.041467492, 'learning_rate': 0.00024622920934721327, 'keep_value': 0.56350173636399858, 'reg_scale': 0.019878603459367955, 'nb_hidden_layer': 1}
{'nb_hidden3': 394, 'nb_hidden2': 133, 'nb_hidden1': 234, 'mse': 16.864016, 'learning_rate': 0.10387013797717431, 'keep_value': 0.98926278386786015, 'reg_scale': 0.045528060687842153, 'nb_hidden_layer': 2}
{'nb_hidden3': 161, 'nb_hidden2': 24, 'nb_hidden1': 407, 'mse': 0.15350176, 'learning_rate': 0.0049058964422288021, 'keep_value': 0.77887946934786845, 'reg_scale': 5.4634844802586533e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 227, 'nb_hidden2': 474, 'nb_hidden1': 187, 'mse': 8.6360188, 'learning_rate': 0.058837245956911817, 'keep_value': 0.13058417525143484, 'reg_scale': 0.010994660770031648, 'nb_hidden_layer': 1}
