{'nb_hidden3': 469, 'nb_hidden2': 75, 'nb_hidden1': 30, 'mse': 0.29861164, 'learning_rate': 1.9791036371481877e-05, 'keep_value': 0.67672444112540253, 'reg_scale': 2.3149143447678959e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 460, 'nb_hidden2': 199, 'nb_hidden1': 165, 'mse': 0.056109682, 'learning_rate': 0.0070672792136053384, 'keep_value': 0.76747011453035829, 'reg_scale': 0.0031155883858532216, 'nb_hidden_layer': 2}
{'nb_hidden3': 311, 'nb_hidden2': 85, 'nb_hidden1': 46, 'mse': 0.010351649, 'learning_rate': 0.0053152993375348229, 'keep_value': 0.92086298760471341, 'reg_scale': 0.00032570925308618844, 'nb_hidden_layer': 1}
{'nb_hidden3': 235, 'nb_hidden2': 162, 'nb_hidden1': 11, 'mse': 0.16794835, 'learning_rate': 0.87877978441228499, 'keep_value': 0.67779120718866204, 'reg_scale': 0.54973744175890216, 'nb_hidden_layer': 1}
{'nb_hidden3': 296, 'nb_hidden2': 280, 'nb_hidden1': 34, 'mse': 0.085579067, 'learning_rate': 0.0052485212002862415, 'keep_value': 0.57503851651864124, 'reg_scale': 1.3494322195790791, 'nb_hidden_layer': 3}
{'nb_hidden3': 23, 'nb_hidden2': 183, 'nb_hidden1': 282, 'mse': 1458958.8, 'learning_rate': 21.912064081467225, 'keep_value': 0.20767389712638484, 'reg_scale': 0.22590327437349472, 'nb_hidden_layer': 1}
{'nb_hidden3': 53, 'nb_hidden2': 249, 'nb_hidden1': 363, 'mse': 0.0052737724, 'learning_rate': 0.002642964354034231, 'keep_value': 0.22541665138778322, 'reg_scale': 8.8790798186052676e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 386, 'nb_hidden2': 432, 'nb_hidden1': 45, 'mse': 103477.42, 'learning_rate': 2.9060020473506918, 'keep_value': 0.83243253623564917, 'reg_scale': 0.065703423011395354, 'nb_hidden_layer': 3}
{'nb_hidden3': 288, 'nb_hidden2': 421, 'nb_hidden1': 260, 'mse': 2.2091327, 'learning_rate': 0.20568885616548299, 'keep_value': 0.99590209313211131, 'reg_scale': 0.028460407017707804, 'nb_hidden_layer': 1}
{'nb_hidden3': 199, 'nb_hidden2': 160, 'nb_hidden1': 339, 'mse': 0.10324407, 'learning_rate': 0.0011059679898350106, 'keep_value': 0.68797193512677812, 'reg_scale': 8.0646023596624858e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 170, 'nb_hidden2': 476, 'nb_hidden1': 181, 'mse': 312963.44, 'learning_rate': 4.4039526956239232, 'keep_value': 0.28024468289382809, 'reg_scale': 0.0005994813059167402, 'nb_hidden_layer': 2}
{'nb_hidden3': 230, 'nb_hidden2': 118, 'nb_hidden1': 380, 'mse': 0.010137331, 'learning_rate': 0.003596834917246172, 'keep_value': 0.61069017900732481, 'reg_scale': 2.2123823018378937e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 84, 'nb_hidden2': 14, 'nb_hidden1': 367, 'mse': 0.0054474208, 'learning_rate': 0.0012804262477258256, 'keep_value': 0.53773621223079293, 'reg_scale': 2.9252962153000865e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 60, 'nb_hidden2': 422, 'nb_hidden1': 444, 'mse': 0.041443449, 'learning_rate': 0.00095512337870636347, 'keep_value': 0.39344459014693944, 'reg_scale': 0.82044833017708529, 'nb_hidden_layer': 1}
{'nb_hidden3': 193, 'nb_hidden2': 196, 'nb_hidden1': 120, 'mse': 0.048549619, 'learning_rate': 0.00035318624606550382, 'keep_value': 0.3492765979114677, 'reg_scale': 0.086112952242232643, 'nb_hidden_layer': 3}
{'nb_hidden3': 365, 'nb_hidden2': 150, 'nb_hidden1': 110, 'mse': 1395660.5, 'learning_rate': 91.967728258995251, 'keep_value': 0.23877731121709067, 'reg_scale': 0.0038406783753437341, 'nb_hidden_layer': 2}
{'nb_hidden3': 395, 'nb_hidden2': 456, 'nb_hidden1': 261, 'mse': 0.063187957, 'learning_rate': 0.012578452166084313, 'keep_value': 0.85128281279436313, 'reg_scale': 4.7062883170525859e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 174, 'nb_hidden2': 139, 'nb_hidden1': 139, 'mse': 0.19201081, 'learning_rate': 5.0040296031726315e-05, 'keep_value': 0.67587100969281932, 'reg_scale': 6.2843965917076667e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 150, 'nb_hidden2': 71, 'nb_hidden1': 481, 'mse': 0.10637541, 'learning_rate': 0.00070308555364283567, 'keep_value': 0.40524462208042367, 'reg_scale': 0.00010994347244734139, 'nb_hidden_layer': 2}
{'nb_hidden3': 221, 'nb_hidden2': 475, 'nb_hidden1': 222, 'mse': 0.83643329, 'learning_rate': 0.0008525994231874522, 'keep_value': 0.18977300096778926, 'reg_scale': 7.6795828275841672e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 191, 'nb_hidden2': 345, 'nb_hidden1': 376, 'mse': 164251.0, 'learning_rate': 28.315891263454173, 'keep_value': 0.83851738651943686, 'reg_scale': 2.5699600436979778e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 157, 'nb_hidden2': 201, 'nb_hidden1': 418, 'mse': 92067.922, 'learning_rate': 13.738594615836456, 'keep_value': 0.60786458267647636, 'reg_scale': 2.2792001238967765e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 341, 'nb_hidden2': 136, 'nb_hidden1': 78, 'mse': 0.043843098, 'learning_rate': 0.23601016335655045, 'keep_value': 0.20501646045976774, 'reg_scale': 0.00039825689961761558, 'nb_hidden_layer': 1}
{'nb_hidden3': 324, 'nb_hidden2': 246, 'nb_hidden1': 370, 'mse': 5292.6895, 'learning_rate': 38.526208027709536, 'keep_value': 0.39241487386191154, 'reg_scale': 4.7462450960823621e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 363, 'nb_hidden2': 86, 'nb_hidden1': 335, 'mse': 0.032635298, 'learning_rate': 0.0043445821065019275, 'keep_value': 0.089325801457222131, 'reg_scale': 0.022864651811396845, 'nb_hidden_layer': 1}
{'nb_hidden3': 119, 'nb_hidden2': 308, 'nb_hidden1': 443, 'mse': 0.03998879, 'learning_rate': 0.00092038708338814258, 'keep_value': 0.39462769990688484, 'reg_scale': 0.46667324567183638, 'nb_hidden_layer': 3}
{'nb_hidden3': 328, 'nb_hidden2': 158, 'nb_hidden1': 322, 'mse': 1.8577336, 'learning_rate': 0.35754770786347401, 'keep_value': 0.85252353603509967, 'reg_scale': 0.01088995351591901, 'nb_hidden_layer': 1}
{'nb_hidden3': 46, 'nb_hidden2': 458, 'nb_hidden1': 182, 'mse': 0.041945674, 'learning_rate': 0.031290795995106015, 'keep_value': 0.42682472398485083, 'reg_scale': 1.7349369895014655e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 497, 'nb_hidden2': 10, 'nb_hidden1': 200, 'mse': 0.0064401114, 'learning_rate': 0.0010059368906081992, 'keep_value': 0.11654844111467533, 'reg_scale': 1.0811742702786631e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 393, 'nb_hidden2': 197, 'nb_hidden1': 60, 'mse': 0.10217397, 'learning_rate': 0.015385909175041781, 'keep_value': 0.54291941754203255, 'reg_scale': 2.1634830435736649e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 434, 'nb_hidden2': 170, 'nb_hidden1': 335, 'mse': 6892.5713, 'learning_rate': 0.66055014727695371, 'keep_value': 0.43681512860781313, 'reg_scale': 6.5128836071969216, 'nb_hidden_layer': 3}
{'nb_hidden3': 327, 'nb_hidden2': 385, 'nb_hidden1': 269, 'mse': 64073.125, 'learning_rate': 8.7391445682443596, 'keep_value': 0.39444327180675176, 'reg_scale': 0.16873671334737708, 'nb_hidden_layer': 1}
{'nb_hidden3': 108, 'nb_hidden2': 291, 'nb_hidden1': 480, 'mse': 0.36024937, 'learning_rate': 0.004495045339856161, 'keep_value': 0.87512994405300848, 'reg_scale': 0.0067834746807873027, 'nb_hidden_layer': 3}
{'nb_hidden3': 465, 'nb_hidden2': 159, 'nb_hidden1': 369, 'mse': 727435.62, 'learning_rate': 5.8775849000129021, 'keep_value': 0.45473227203015554, 'reg_scale': 5.6886176737594256e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 252, 'nb_hidden2': 309, 'nb_hidden1': 222, 'mse': 0.10689493, 'learning_rate': 0.00027340536702025067, 'keep_value': 0.44942663516918246, 'reg_scale': 0.0006770385900552754, 'nb_hidden_layer': 1}
{'nb_hidden3': 425, 'nb_hidden2': 407, 'nb_hidden1': 18, 'mse': 1.451202, 'learning_rate': 1.7397472991808616e-05, 'keep_value': 0.39209722209425124, 'reg_scale': 2.6763022582649474, 'nb_hidden_layer': 3}
{'nb_hidden3': 86, 'nb_hidden2': 322, 'nb_hidden1': 491, 'mse': 0.013296389, 'learning_rate': 0.0035634857667038162, 'keep_value': 0.57321502264711599, 'reg_scale': 1.2265919726028777e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 174, 'nb_hidden2': 11, 'nb_hidden1': 411, 'mse': 0.053669326, 'learning_rate': 0.16637516403331692, 'keep_value': 0.1914125355448113, 'reg_scale': 3.585610026894178, 'nb_hidden_layer': 3}
{'nb_hidden3': 94, 'nb_hidden2': 286, 'nb_hidden1': 30, 'mse': 0.047342494, 'learning_rate': 0.058951864376985089, 'keep_value': 0.047319258794777941, 'reg_scale': 0.012857713572699221, 'nb_hidden_layer': 1}
{'nb_hidden3': 116, 'nb_hidden2': 323, 'nb_hidden1': 40, 'mse': 132.3797, 'learning_rate': 6.5158650918793057, 'keep_value': 0.89675499238696721, 'reg_scale': 1.8624312164945571e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 95, 'nb_hidden2': 449, 'nb_hidden1': 386, 'mse': 0.47203258, 'learning_rate': 2.5107076498573178e-05, 'keep_value': 0.55438456247054491, 'reg_scale': 0.015293024583020147, 'nb_hidden_layer': 3}
{'nb_hidden3': 83, 'nb_hidden2': 354, 'nb_hidden1': 396, 'mse': 0.028665707, 'learning_rate': 0.00033388445471618366, 'keep_value': 0.60990642779125748, 'reg_scale': 0.17690248974465733, 'nb_hidden_layer': 1}
{'nb_hidden3': 256, 'nb_hidden2': 288, 'nb_hidden1': 235, 'mse': 50.686317, 'learning_rate': 0.21963710470805944, 'keep_value': 0.61038288539747665, 'reg_scale': 0.004122076944017514, 'nb_hidden_layer': 2}
