{'C': 9666.3441113351219, 'mse': 58.070331343769809, 'gamma': 0.0038649249035696493}
{'C': 259.53617507441356, 'mse': 76.071293339528552, 'gamma': 0.32083858448817609}
{'C': 1.4929633103466293e-10, 'mse': 49.621131923403951, 'gamma': 0.56403572028324678}
{'C': 1.6173087529881127, 'mse': 47.704891879134543, 'gamma': 4.571731435604713}
{'C': 2.5937275020531135e-06, 'mse': 49.61962008866918, 'gamma': 1.6323960461238585e-06}
{'C': 0.01087559918661418, 'mse': 48.155778996592602, 'gamma': 9.5984320852127508e-05}
{'C': 4.0159243617862435e-05, 'mse': 49.620536477810496, 'gamma': 0.12397769494225873}
{'C': 0.11979757693903419, 'mse': 49.583050398964041, 'gamma': 818.46310572010111}
{'C': 1323.6743861821483, 'mse': 34.733224067430903, 'gamma': 0.001722150901815162}
{'C': 0.0028258387616746043, 'mse': 49.295935904627164, 'gamma': 0.00053676819912891189}
{'C': 0.0018208398818464915, 'mse': 49.122196301235057, 'gamma': 5.3023004412731531e-06}
{'C': 4.6898363139502205e-06, 'mse': 49.621111598597999, 'gamma': 4.1217826106735291}
{'C': 41525.592213417112, 'mse': 39.659474509952403, 'gamma': 56.968474533666388}
{'C': 1286.2587930443246, 'mse': 36.451273596851721, 'gamma': 1.6740196709665513e-05}
{'C': 0.0056431961768724443, 'mse': 48.854489405556784, 'gamma': 9.4555841905950071e-05}
{'C': 0.0048967429424541459, 'mse': 48.300556513763446, 'gamma': 1.5204668034008647e-08}
{'C': 1.6263556059650782e-09, 'mse': 49.621131583860461, 'gamma': 5.1503733375823995e-05}
{'C': 3.6634217016541934e-06, 'mse': 49.620682163540863, 'gamma': 3.1915265073584488e-09}
{'C': 1.6466689954210085e-05, 'mse': 49.621031290529281, 'gamma': 1.3022119198920858e-10}
{'C': 17.935360011924843, 'mse': 41.681886373529494, 'gamma': 255.9825463456057}
{'C': 0.047769117399988813, 'mse': 46.713794223609291, 'gamma': 2.2492892332145387e-09}
{'C': 7.4000076446322267e-10, 'mse': 49.62113192120772, 'gamma': 3.8430924010973664}
{'C': 1.8698516812176417e-07, 'mse': 49.621051436044901, 'gamma': 4.6685831605004656e-06}
{'C': 0.036665253890220774, 'mse': 49.500106827218957, 'gamma': 1.6634043478713663}
{'C': 0.00086369278465496166, 'mse': 49.618252795626518, 'gamma': 59.522242054729524}
{'C': 0.015691128662372291, 'mse': 47.817599120084957, 'gamma': 4.5589652981303156e-09}
{'C': 8.0507485914002218e-06, 'mse': 49.620156236859856, 'gamma': 0.0012113550968470368}
