{'C': 546.90370448680346, 'mse': 1216.048229705799, 'gamma': 0.00019627335903635602}
{'C': 1.2117874074138824e-08, 'mse': 1039.8523555972922, 'gamma': 8.2631813696810865e-07}
{'C': 34.583672078264378, 'mse': 1043.3235107176345, 'gamma': 0.0049698406933171837}
{'C': 96324.059717731245, 'mse': 1053.9802815853832, 'gamma': 25.800630574227522}
{'C': 0.00088666131597367611, 'mse': 1039.8121421141789, 'gamma': 3.298200259916834e-09}
{'C': 0.028110709659058888, 'mse': 1039.5853926402856, 'gamma': 369.97621775395885}
{'C': 1.0926758828778156e-07, 'mse': 1039.8523604826473, 'gamma': 173.93108155799266}
{'C': 290366.47385575308, 'mse': 746.48059248536936, 'gamma': 1.0504167882197956e-08}
{'C': 840860.48058952228, 'mse': 1031.2584500051989, 'gamma': 0.0030295322066784093}
{'C': 171.02206567440862, 'mse': 919.84242394705916, 'gamma': 1.7870807566407513e-10}
{'C': 1.413361494543255e-09, 'mse': 1039.8523611027751, 'gamma': 350.71971321264584}
{'C': 2.6458024975424062e-06, 'mse': 1039.85116147592, 'gamma': 8.6106640392980977e-07}
{'C': 992.88152369815589, 'mse': 1054.2633528104218, 'gamma': 19.486621696043489}
{'C': 1.7559237466330169, 'mse': 1033.8306598675563, 'gamma': 0.12022109597369496}
{'C': 7.4514605118304281e-07, 'mse': 1039.852068208711, 'gamma': 1.9531873374319333e-06}
{'C': 663132.65088591375, 'mse': 1055.120448477363, 'gamma': 0.026178978098919722}
{'C': 158.64439847119638, 'mse': 777.80427200990357, 'gamma': 1.6846521274265265e-07}
{'C': 2.1308105976396809e-09, 'mse': 1039.8523611044354, 'gamma': 1.6545975032700465e-10}
{'C': 1.1025504714435766e-06, 'mse': 1039.8523549440249, 'gamma': 0.01840793063624311}
{'C': 4.6649114986367159, 'mse': 1039.5245006880925, 'gamma': 0.43367223231687307}
{'C': 4.0923145000389516, 'mse': 1022.4336448645206, 'gamma': 0.0007313826710233849}
{'C': 6.1550697627041586, 'mse': 1042.37870134276, 'gamma': 91.635239040055936}
{'C': 0.00050916456074391321, 'mse': 1039.8494950721924, 'gamma': 38.040949431101545}
{'C': 0.0013171604192498232, 'mse': 1039.3457406191537, 'gamma': 2.1140844424803256e-06}
{'C': 79.566919732247399, 'mse': 1032.8611932669182, 'gamma': 0.0034569980899445915}
{'C': 2.3823023974877273e-07, 'mse': 1039.8523599779567, 'gamma': 2.6624166125048569e-10}
{'C': 3.8725650874589068e-07, 'mse': 1039.8523589450165, 'gamma': 0.39902888609989329}
{'C': 6.3595719418532398e-06, 'mse': 1039.8523255411458, 'gamma': 0.0882495230853831}
{'C': 0.028658444790547129, 'mse': 1039.5893685762405, 'gamma': 0.15843836746261658}
{'C': 9.8743627211570759e-06, 'mse': 1039.8522318631412, 'gamma': 0.0006362164536815821}
{'C': 0.0022585455664521658, 'mse': 1039.831221710346, 'gamma': 185.55606873401769}
{'C': 3.6478215631068427e-07, 'mse': 1039.8523494140022, 'gamma': 0.00017453870635293807}
{'C': 0.50920527789455294, 'mse': 1033.2828370902803, 'gamma': 0.00066546221466113286}
{'C': 3.443546344291737e-10, 'mse': 1039.8523609544491, 'gamma': 2.8793789582766989e-07}
{'C': 2.7939506268840017e-10, 'mse': 1039.852361000761, 'gamma': 1.9172580247886203e-06}
{'C': 0.0014313133166971863, 'mse': 1039.8437809497113, 'gamma': 477.93915703824001}
{'C': 11091.418166891403, 'mse': 1053.1761159385876, 'gamma': 44.067963575335668}
{'C': 11.436830689502097, 'mse': 843.09326002413866, 'gamma': 9.3772153352929986e-09}
{'C': 101569.64353118252, 'mse': 1065.0724120542732, 'gamma': 0.00041472870586529672}
