{'C': 3079.3014488110548, 'mse': 26.981896004377209, 'gamma': 3.9409355981732739e-07}
{'C': 2536.0642468512488, 'mse': 74.966478408105644, 'gamma': 1.8296568978518852}
{'C': 5.7925812461510029e-08, 'mse': 73.346274503329866, 'gamma': 625.05550642976846}
{'C': 3.2241730826650296e-07, 'mse': 73.346262619590732, 'gamma': 0.0033824424955825705}
{'C': 0.005242701333336838, 'mse': 72.588031950554836, 'gamma': 0.00034051925221499304}
{'C': 96800.359806491426, 'mse': 14.329308698836684, 'gamma': 2.9851642431929173e-05}
{'C': 7793.7604253269237, 'mse': 17.061804962750568, 'gamma': 4.5751040136858643e-05}
{'C': 69.132040007847507, 'mse': 50.367165735557485, 'gamma': 0.0073950488668276361}
{'C': 0.00019237197651698261, 'mse': 73.2698843304062, 'gamma': 2.1609908632872023e-05}
{'C': 0.033509672190411989, 'mse': 67.119444029623651, 'gamma': 3.6063076744901168e-06}
{'C': 7.491494921233032e-10, 'mse': 73.346274505243613, 'gamma': 5.799817405839282e-08}
{'C': 1.2582475978169365e-07, 'mse': 73.346272111014457, 'gamma': 1.8462916488645737e-07}
{'C': 6.0269382850012804e-06, 'mse': 73.346273836214039, 'gamma': 178.18658584815648}
{'C': 2.4789139497278666e-08, 'mse': 73.346273750719945, 'gamma': 0.0045029682238624169}
{'C': 2.082914628318125e-05, 'mse': 73.346232182189922, 'gamma': 1.9264890950529003e-08}
{'C': 0.0002072252893856503, 'mse': 73.343511212698914, 'gamma': 0.013273928081871587}
{'C': 9.4489877916500215e-06, 'mse': 73.346274381815164, 'gamma': 1.2809214209759961e-10}
{'C': 22090.493590616501, 'mse': 15.017283100975989, 'gamma': 6.7243122699773673e-06}
{'C': 0.60044041402944059, 'mse': 73.048875785426617, 'gamma': 4.7127535877980253e-09}
{'C': 0.031953272065492977, 'mse': 73.312651721096486, 'gamma': 9.9696537637302624e-09}
{'C': 6479.1747517345821, 'mse': 48.915308161518738, 'gamma': 1.8298356320934307e-09}
{'C': 0.0020834002745313707, 'mse': 73.304193253283884, 'gamma': 0.0080172438254065646}
{'C': 5.0212384678903697e-10, 'mse': 73.346274509671744, 'gamma': 0.83704330396506499}
{'C': 6.5863533654833542e-05, 'mse': 73.346238996396508, 'gamma': 5.1022874124657845e-09}
{'C': 2.1707984338602968e-07, 'mse': 73.346273342268319, 'gamma': 0.033309193636626946}
{'C': 3.6278100615583571e-07, 'mse': 73.346216092322834, 'gamma': 1.9340760798532595e-06}
{'C': 0.11144089139273164, 'mse': 73.345009632877861, 'gamma': 1.0733742010713179e-10}
{'C': 1.0344288606476302e-08, 'mse': 73.346274230444251, 'gamma': 2.6422136211690541e-07}
{'C': 1.8237607602855637e-10, 'mse': 73.346274467266753, 'gamma': 0.00016537828868011244}
{'C': 1.4763229212721097e-05, 'mse': 73.346273797376924, 'gamma': 4.5636824854607876e-10}
{'C': 1.5170903838227288e-08, 'mse': 73.346270706560631, 'gamma': 0.0001424036019477415}
{'C': 3.2881888839094641e-08, 'mse': 73.346274096441348, 'gamma': 0.014186730652197159}
{'C': 2198.0114473611316, 'mse': 56.224638054552763, 'gamma': 2.7958002475209959e-10}
{'C': 0.15275209968823139, 'mse': 73.3369742234688, 'gamma': 128.42907603367374}
{'C': 207.31677690150596, 'mse': 47.343678329660612, 'gamma': 7.9855030191239022e-08}
{'C': 0.033685611975875905, 'mse': 73.22012665717709, 'gamma': 3.5660643035440877e-08}
{'C': 64315.825364593518, 'mse': 58.592213134621204, 'gamma': 0.018886065065613633}
{'C': 0.0043933537602528164, 'mse': 73.346047469576945, 'gamma': 4.887270996661305e-10}
{'C': 1048.3304763306692, 'mse': 74.950324221895499, 'gamma': 12.77705317433014}
{'C': 5109.097368699855, 'mse': 75.044424968095242, 'gamma': 1.2844384084205953}
{'C': 31.21226951090858, 'mse': 75.095057051708864, 'gamma': 832.81028975750905}
{'C': 329.66041569325552, 'mse': 43.853918323998315, 'gamma': 1.2386515148764581e-07}
{'C': 0.054181897798897961, 'mse': 71.738280994818155, 'gamma': 0.0041561095754743867}
{'C': 4.232611891817942e-07, 'mse': 73.346274263088361, 'gamma': 5.5160555586947551e-09}
{'C': 0.035717237000442131, 'mse': 72.84883752368421, 'gamma': 1.3695502981995706e-07}
{'C': 0.00023146444164361788, 'mse': 73.346219991638421, 'gamma': 1.2351068642426297}
{'C': 2.3292263085725063e-05, 'mse': 73.340602358222895, 'gamma': 3.4895449382791346e-06}
{'C': 277.39430719248207, 'mse': 75.095040912003256, 'gamma': 64.937592978551422}
{'C': 7193.9072789210286, 'mse': 49.57776954863828, 'gamma': 1.3124529438126789e-09}
{'C': 0.0053274319795483475, 'mse': 73.288945230762295, 'gamma': 1.0323981773374815e-07}
{'C': 20.874727539790253, 'mse': 74.376216279434288, 'gamma': 1.3912348517968975}
{'C': 795.88221582274923, 'mse': 45.683776926908415, 'gamma': 3.0240761657921432e-08}
{'C': 1.3141614241834538, 'mse': 73.189274279172082, 'gamma': 1.3224640062256265}
{'C': 204614.54652051083, 'mse': 31.095089015899337, 'gamma': 5.8803972052785059e-05}
{'C': 21.398926499743812, 'mse': 48.792786957021036, 'gamma': 5.3200664645462283e-07}
{'C': 3.0062206462180034, 'mse': 36.036451110052191, 'gamma': 0.00011373500739524019}
{'C': 3.6246879167151764, 'mse': 71.823271671036565, 'gamma': 0.21449578180665366}
{'C': 517.41230608224782, 'mse': 75.090086154022359, 'gamma': 32.576986788576576}
{'C': 0.022448841167461792, 'mse': 73.34407510431646, 'gamma': 9.2664201710506702e-10}
{'C': 227.99949251320334, 'mse': 51.536898171674487, 'gamma': 2.1272030456528104e-08}
{'C': 1.3804864478527251e-09, 'mse': 73.34627450964858, 'gamma': 29.330687882820772}
{'C': 0.0018330249817705493, 'mse': 73.307028318016748, 'gamma': 2.0812821972153075e-07}
