{'C': 2.7845742885376824e-07, 'mse': 317.14337284423641, 'gamma': 2.120366875332385}
{'C': 556.25413933493724, 'mse': 300.61347996935291, 'gamma': 7.9742357035822291}
{'C': 0.028612149902090062, 'mse': 306.45681297374608, 'gamma': 2.1975641043340629e-09}
{'C': 51.554578053565798, 'mse': 89.83809528170022, 'gamma': 1.36607607013841e-09}
{'C': 2.0131055864271455e-05, 'mse': 317.1431547429051, 'gamma': 9.8661962107938581e-08}
{'C': 8.1291002189015348e-06, 'mse': 317.14305112869897, 'gamma': 2.4592490280954602e-08}
{'C': 0.032984995599837384, 'mse': 316.99863726420926, 'gamma': 698.85424944782812}
{'C': 0.0010301330135014479, 'mse': 317.13906701053003, 'gamma': 264.38933651433689}
{'C': 43483.906407954215, 'mse': 140.97742719898892, 'gamma': 4.6481815469762343e-09}
{'C': 5.132397315328389e-10, 'mse': 317.14337399224422, 'gamma': 3.0686378719797384e-08}
{'C': 2.1854251129622272e-06, 'mse': 317.14265348042636, 'gamma': 2.1430014739719392e-09}
{'C': 0.0038695425188504219, 'mse': 317.12636345686451, 'gamma': 0.00011028481360139757}
{'C': 823339.7905987947, 'mse': 300.61347996935291, 'gamma': 20.416777893179603}
{'C': 89010.670030794776, 'mse': 300.61347996935291, 'gamma': 1.6133176331340129}
{'C': 1.2368081891416838, 'mse': 315.27728838158617, 'gamma': 6.9037341355675296e-07}
{'C': 1.1412814388536141e-09, 'mse': 317.14337400376985, 'gamma': 0.58183411907431104}
{'C': 0.0062026995220283579, 'mse': 317.11611090108312, 'gamma': 0.35760869095727366}
{'C': 4.0198245662013434e-05, 'mse': 317.14320592926481, 'gamma': 38.688279651676709}
{'C': 6.2396213555088276e-05, 'mse': 317.1431131141577, 'gamma': 229.55207505038382}
{'C': 47225.024392135208, 'mse': 154.28150646445056, 'gamma': 6.6239012454437025e-09}
{'C': 906.65330536492183, 'mse': 300.61347996935291, 'gamma': 15.9801986023719}
{'C': 882.44252255359174, 'mse': 300.61347996935268, 'gamma': 0.013688845411036292}
{'C': 1.2708370962385423e-06, 'mse': 317.14336869483031, 'gamma': 0.0062781346693846956}
{'C': 1.4410532904806676e-08, 'mse': 317.14337394828743, 'gamma': 110.51349314431432}
{'C': 0.00028452819899021882, 'mse': 317.14218433982393, 'gamma': 0.0067565179737589061}
{'C': 2.1179853440984422e-08, 'mse': 317.1433739198493, 'gamma': 1.6801142527638445e-05}
{'C': 192096.55118495101, 'mse': 300.61649593383805, 'gamma': 0.00037692824396926125}
{'C': 1.6803927901601553e-07, 'mse': 317.14337330592451, 'gamma': 0.19682384968727384}
{'C': 1.0095217206095322e-06, 'mse': 317.14336978746013, 'gamma': 0.0007279878367402405}
{'C': 8.6720912717010185e-08, 'mse': 317.143373626727, 'gamma': 1.0914109189371634e-06}
{'C': 0.0963808086995466, 'mse': 316.72214844365743, 'gamma': 0.29207726012823548}
{'C': 20.131305208201187, 'mse': 302.55099037664343, 'gamma': 0.18073755176368256}
{'C': 1.0290899224579214e-05, 'mse': 317.14094330982527, 'gamma': 3.3714720350266363e-09}
{'C': 4.2933225365962156e-05, 'mse': 317.14319449363552, 'gamma': 0.0075180542168371148}
{'C': 650943.61790566158, 'mse': 254.09117038447033, 'gamma': 8.8501740667821254e-08}
{'C': 0.03994734153434109, 'mse': 316.968163683711, 'gamma': 0.00098943497727935529}
{'C': 276.96111915093866, 'mse': 63.766268465143909, 'gamma': 5.2401968325226245e-10}
{'C': 7.0989539176765842e-06, 'mse': 317.14334432591801, 'gamma': 0.19508405993914332}
{'C': 3.4991509135284139e-10, 'mse': 317.14337400707871, 'gamma': 877.33406298878447}
{'C': 0.37838269960117304, 'mse': 315.51917984693642, 'gamma': 0.0013032206454382537}
{'C': 332889.44075615786, 'mse': 186.33238747251781, 'gamma': 1.4113195241097434e-08}
{'C': 0.00064294743724275356, 'mse': 317.14017664729442, 'gamma': 4.862500371136348e-07}
{'C': 175639.58457459661, 'mse': 300.61347996935291, 'gamma': 0.9068030770868426}
{'C': 357754.61205990805, 'mse': 200.51438522717612, 'gamma': 2.0214875882047624e-08}
{'C': 0.02699757351528622, 'mse': 317.02486512459546, 'gamma': 0.0013547067230569314}
{'C': 0.0054310756497881136, 'mse': 317.11921467230752, 'gamma': 3.0163311445141237e-06}
{'C': 41.820959711927742, 'mse': 258.0580889072138, 'gamma': 7.7368533690663435e-08}
{'C': 2.6826379697137828e-08, 'mse': 317.14337389637348, 'gamma': 34.99299033901881}
{'C': 8.696208774234782e-06, 'mse': 317.14333764737194, 'gamma': 31.392036209807454}
{'C': 1.6027436502457513e-10, 'mse': 317.14337400787173, 'gamma': 0.01911743332941666}
{'C': 360.32392800909304, 'mse': 300.61347996935291, 'gamma': 0.076310165789008344}
{'C': 27272.880420448935, 'mse': 240.6156552708641, 'gamma': 5.750022807090383e-08}
{'C': 1.2500883237919618, 'mse': 315.85216694184481, 'gamma': 18.939675309916872}
{'C': 0.00037328614695909151, 'mse': 317.14181323355831, 'gamma': 136.63795667855825}
{'C': 8.6429896675264377, 'mse': 97.285466490521671, 'gamma': 4.6347762181543716e-10}
{'C': 11938.22215941021, 'mse': 300.61347996935291, 'gamma': 0.045933785818580396}
{'C': 9.5870601138270816e-06, 'mse': 317.14333392248693, 'gamma': 0.0090265334560574555}
{'C': 141447.51915555334, 'mse': 263.18996784088029, 'gamma': 1.250394137521903e-07}
{'C': 0.00024844640155298247, 'mse': 317.14233520271631, 'gamma': 0.0001905620558606323}
{'C': 6.6572130812628046e-06, 'mse': 317.14334617295378, 'gamma': 1.2175657235382464}
{'C': 3.5029728350944831e-06, 'mse': 317.14335936167294, 'gamma': 0.00041037734744646555}
{'C': 1.8057562451051516e-10, 'mse': 317.14337400778675, 'gamma': 0.024278477350474292}
{'C': 8.0172568193753341e-08, 'mse': 317.1433736731824, 'gamma': 3.1320221815563372e-05}
{'C': 587983.55343996268, 'mse': 300.14565677958268, 'gamma': 4.8347021604105957e-06}
{'C': 5.3517669092798909e-07, 'mse': 317.14337177082416, 'gamma': 0.0017397528771023352}
{'C': 0.00037023747596371195, 'mse': 317.14182598026252, 'gamma': 0.00016093556483504453}
{'C': 2.8497539386291331e-06, 'mse': 317.14336209295584, 'gamma': 3.88634164623747}
{'C': 55.269033518858585, 'mse': 295.84046125067812, 'gamma': 9.0158179237670456e-07}
{'C': 7.6119374824559504e-06, 'mse': 317.14333769811083, 'gamma': 5.9087706212506742e-07}
{'C': 3.3507404890036456e-10, 'mse': 317.14337400714078, 'gamma': 0.00090825552218409486}
{'C': 3.5673188318235989e-06, 'mse': 317.14335909262513, 'gamma': 0.58109957924028244}
{'C': 608088.69805910136, 'mse': 300.61334765876575, 'gamma': 5.8213143439407988e-05}
{'C': 0.0030038595124378272, 'mse': 317.12618194004011, 'gamma': 3.4439676446669054e-07}
{'C': 62315.389915940308, 'mse': 85.981502986881978, 'gamma': 1.6934501676566043e-10}
{'C': 76728.403802182991, 'mse': 80.387288823327253, 'gamma': 2.063427513269853e-10}
{'C': 13038.617201291274, 'mse': 284.04018714909421, 'gamma': 3.3279880634243401e-07}
{'C': 269470.58648474736, 'mse': 300.61352586578403, 'gamma': 0.0030823981371948801}
{'C': 7.3751496333388928, 'mse': 311.09739172950515, 'gamma': 0.47537713401869985}
{'C': 0.17295009165938552, 'mse': 316.39116899413563, 'gamma': 1.476346516690346}
{'C': 1.3400149830686311e-09, 'mse': 317.14337400262838, 'gamma': 1.0614100806839108e-06}
{'C': 0.052670297674247378, 'mse': 316.91254565908258, 'gamma': 285.88133871068902}
{'C': 0.24846802310860525, 'mse': 268.78792006899027, 'gamma': 9.5242060154209657e-10}
{'C': 11.439618287718837, 'mse': 306.89484794200268, 'gamma': 2.3008836532392172e-05}
{'C': 1680.002942286367, 'mse': 300.61347996935291, 'gamma': 362.35810810410203}
{'C': 0.036644907691638404, 'mse': 313.53239646196431, 'gamma': 8.89684212699644e-09}
{'C': 243.79656032870446, 'mse': 300.61356176269959, 'gamma': 0.002740303625947205}
{'C': 9.1010618679130418e-09, 'mse': 317.14336391773878, 'gamma': 3.343914206889124e-10}
{'C': 12.350266440582594, 'mse': 306.16141689865151, 'gamma': 6.0045016972351894e-05}
{'C': 0.0084402148420553193, 'mse': 315.96486461721395, 'gamma': 6.3275589100430543e-09}
{'C': 29964.579246203521, 'mse': 300.61347996935291, 'gamma': 1.0960749551267668}
{'C': 44974.067651243335, 'mse': 300.61347996935291, 'gamma': 145.19235189575201}
{'C': 0.022752598452689302, 'mse': 317.04347200983824, 'gamma': 0.00010016281134844018}
{'C': 1.3218477629400579e-08, 'mse': 317.14335793800706, 'gamma': 2.868909113611105e-10}
{'C': 0.0014168477626835822, 'mse': 317.13745028868624, 'gamma': 0.064827512246359159}
{'C': 362.19931724988481, 'mse': 90.480206981413531, 'gamma': 1.3457077977338539e-09}
{'C': 3.4488573007568115e-06, 'mse': 317.14335958794453, 'gamma': 2.6640468258329411}
{'C': 4.7721912047573295e-07, 'mse': 317.14337201316039, 'gamma': 505.11054144817695}
{'C': 998.55523733058089, 'mse': 300.61347996935291, 'gamma': 4.1022503241337409}
{'C': 3.0846257431251868e-09, 'mse': 317.14337399564425, 'gamma': 0.0055801042901516629}
{'C': 22470.580832439191, 'mse': 284.70468846296387, 'gamma': 3.4593209458774563e-07}
