{'C': 3.8005291718223378e-10, 'mse': 0.53577514448977226, 'gamma': 5.3527499654492438e-10}
{'C': 0.0012270462030585781, 'mse': 0.53449991635511873, 'gamma': 0.50643623448225594}
{'C': 0.32985922318459082, 'mse': 0.099362778948527658, 'gamma': 4.2853729094101397e-06}
{'C': 0.052334697074236346, 'mse': 0.53554898144771557, 'gamma': 305.37666418189667}
{'C': 17817.101980603791, 'mse': 0.19912963046377402, 'gamma': 0.99862799205723363}
{'C': 5.5336879921035287e-10, 'mse': 0.53577512268954286, 'gamma': 0.00093135431543106204}
{'C': 1.6888990627922597e-08, 'mse': 0.5357745814699818, 'gamma': 4.7433468428010666e-05}
{'C': 3.0679831957739468e-09, 'mse': 0.53577514392752446, 'gamma': 1.6482947099102152e-07}
{'C': 200872.25097907649, 'mse': 0.023648818910631569, 'gamma': 0.30100843263675825}
{'C': 2.2260941628542046e-05, 'mse': 0.53567835829428501, 'gamma': 4.0771148338710881e-06}
{'C': 2.680159695409841e-10, 'mse': 0.53577514298328155, 'gamma': 5.3427799328815558e-06}
{'C': 3354.2617465611088, 'mse': 0.55035111059099917, 'gamma': 179.16941675249552}
{'C': 1.5708010220327986e-06, 'mse': 0.53577511036197245, 'gamma': 4.1077915704250278}
{'C': 0.0096489661473930753, 'mse': 0.53576314648088474, 'gamma': 1.1159222723159508e-09}
{'C': 2.7159205664412436e-07, 'mse': 0.53577514448999985, 'gamma': 932.58159548310925}
{'C': 0.79001757161840158, 'mse': 0.0089498340963767124, 'gamma': 6.1043547021211698e-05}
{'C': 0.00016411909676480708, 'mse': 0.53472377186127085, 'gamma': 0.042740181492427747}
{'C': 2.8571358413722591e-07, 'mse': 0.53577514024809214, 'gamma': 4.4885425081197825}
{'C': 126.26910103291539, 'mse': 0.55035111038057638, 'gamma': 22.629533599832289}
{'C': 16.036825689821796, 'mse': 0.053507542004020484, 'gamma': 0.46168769003070365}
{'C': 60.564021227149951, 'mse': 0.067882666199399769, 'gamma': 3.0733425076575648e-07}
{'C': 0.010596978076975969, 'mse': 0.53577514448999985, 'gamma': 108.59929243195111}
{'C': 4.7390209793288654e-10, 'mse': 0.53577514431588957, 'gamma': 1.3052859083258992}
{'C': 39.691591144896577, 'mse': 0.0080855406981846338, 'gamma': 0.011422828632844446}
{'C': 1.6934393307304923e-06, 'mse': 0.53577514424878214, 'gamma': 1.2781538962100711e-10}
{'C': 9.7138554817316256e-07, 'mse': 0.53573041021722212, 'gamma': 0.00055425870467964912}
{'C': 2.0784547051886619e-05, 'mse': 0.53577510417081631, 'gamma': 1.7409968641724621e-09}
{'C': 0.16741982460294605, 'mse': 0.0076014789396294594, 'gamma': 0.0026037459645812267}
{'C': 8.2964135119473366e-07, 'mse': 0.5357751315081023, 'gamma': 1.4044975017764119e-08}
{'C': 22.008043698699282, 'mse': 0.0059060466418813344, 'gamma': 1.5405245200069212e-05}
{'C': 0.53036195071069459, 'mse': 0.0074428211192483548, 'gamma': 0.0016061408471675876}
{'C': 9.3537707674835978e-10, 'mse': 0.53577514016006522, 'gamma': 4.3534178429841056e-06}
{'C': 0.0012257710815713899, 'mse': 0.53577513575871283, 'gamma': 12.130731745506916}
{'C': 1.4477133410993094e-05, 'mse': 0.53577511827857216, 'gamma': 1.6248806755641925e-09}
{'C': 0.0074328436981746255, 'mse': 0.53577514448999985, 'gamma': 504.66362984898961}
{'C': 1.9809868580768256e-09, 'mse': 0.53577507971628857, 'gamma': 4.5912990730040362e-05}
{'C': 22.065258370798443, 'mse': 0.0073958423446020688, 'gamma': 0.0016496057244201575}
{'C': 1.5994520254604324e-09, 'mse': 0.53577514413285121, 'gamma': 2.0083120859851789e-07}
{'C': 9.7745937763928303, 'mse': 0.0059399566407944172, 'gamma': 0.001278046002456817}
{'C': 7.552345828965016e-09, 'mse': 0.53577504523046537, 'gamma': 1.360960053941522e-05}
{'C': 388956.43241647829, 'mse': 0.0030307795722295948, 'gamma': 1.241731945833262e-05}
{'C': 7.9433402916120508e-05, 'mse': 0.53572282354228784, 'gamma': 0.8065798749155132}
{'C': 1096.0073539735104, 'mse': 0.008974611471208949, 'gamma': 0.0047374384222396669}
{'C': 7699.9276851303084, 'mse': 0.0063413650336354918, 'gamma': 4.1818634601231609e-06}
{'C': 0.36754322023838976, 'mse': 0.0056795212089594928, 'gamma': 0.00053025394664039591}
{'C': 1.631458578309028e-10, 'mse': 0.53577514360888301, 'gamma': 5.1207274473024129e-06}
{'C': 0.00058757228444038809, 'mse': 0.50675821403958532, 'gamma': 0.00013666762106488158}
{'C': 120.87223247177549, 'mse': 0.55035111059099917, 'gamma': 76.761132899816673}
