{'C': 5.0530658023540991e-09, 'mse': 0.6921933241316558, 'gamma': 9.7216067191417227e-06}
{'C': 56333.298305873221, 'mse': 0.010282306531569545, 'gamma': 7.4898249335435784e-08}
{'C': 113086.71485709593, 'mse': 0.67028222607027255, 'gamma': 2.5953529077193971e-10}
{'C': 14.173314234265055, 'mse': 0.0037783589270906481, 'gamma': 4.2189636053660822}
{'C': 8.2983569715551244, 'mse': 0.0066248174435617731, 'gamma': 0.00077069510573054764}
{'C': 0.076339735364701608, 'mse': 0.0097417590041091913, 'gamma': 84.259400700093067}
{'C': 0.40634570460944142, 'mse': 0.59759229575327677, 'gamma': 0.00032320139591882253}
{'C': 2.4994612765054077e-06, 'mse': 0.69219332325648641, 'gamma': 4.9290620802337921e-07}
{'C': 12984.083458913163, 'mse': 0.0093002386099314948, 'gamma': 956.62034213521804}
{'C': 5.1796538999297107e-09, 'mse': 0.69219323973198743, 'gamma': 0.02257113482135736}
{'C': 4.3776394282329734e-08, 'mse': 0.69219332408955292, 'gamma': 2.4223150010238471e-06}
{'C': 577741.62572709541, 'mse': 0.00869480260257742, 'gamma': 85.315438238437508}
{'C': 0.1307899281806616, 'mse': 0.0095956477745944048, 'gamma': 191.56609819189151}
{'C': 2.9546936176348141e-05, 'mse': 0.69219129085683728, 'gamma': 9.3022708570188992e-05}
{'C': 725704.86418592324, 'mse': 0.045322406002913491, 'gamma': 2.6829306598848972e-08}
{'C': 8.4864996015220039e-10, 'mse': 0.69219329831410181, 'gamma': 804.95100256485398}
{'C': 32747.773621424007, 'mse': 0.0052915046151925105, 'gamma': 0.085134744146511745}
{'C': 1.5897624571236982e-07, 'mse': 0.692190586363155, 'gamma': 0.023878114874443333}
{'C': 0.20925159805225646, 'mse': 0.69179671355181083, 'gamma': 2.5621446993544181e-06}
{'C': 8.9987276793269997e-06, 'mse': 0.69055680740411562, 'gamma': 21.311546197570994}
{'C': 2.69599665787272e-07, 'mse': 0.6921932570791054, 'gamma': 0.00033646601164818757}
{'C': 0.021182098515155505, 'mse': 0.69219235571357696, 'gamma': 6.1598158770598267e-08}
{'C': 8349.942810885108, 'mse': 0.0061554516133854867, 'gamma': 9.7921825988188989}
{'C': 61468.425437189901, 'mse': 0.00623193953303911, 'gamma': 0.062629449768553946}
{'C': 9.2673126853914011e-08, 'mse': 0.69218478939651928, 'gamma': 88.706892244947653}
{'C': 3.0285023301932275, 'mse': 0.0082731323370542759, 'gamma': 47.670485098940368}
{'C': 0.0011058727462496406, 'mse': 0.69219332353326157, 'gamma': 7.6269008741190548e-10}
{'C': 0.054545411461149357, 'mse': 0.0052698027566551488, 'gamma': 5.060765437995884}
{'C': 1.1313038717399773e-05, 'mse': 0.69219331283480701, 'gamma': 1.3542520711969754e-06}
{'C': 1.0432370848065384, 'mse': 0.0063308032860486382, 'gamma': 11.393581304913612}
{'C': 14.966715361312678, 'mse': 0.69209224964213589, 'gamma': 8.9740722375593745e-09}
{'C': 1.6649414223891057, 'mse': 0.69212765924804498, 'gamma': 5.3347602078755933e-08}
{'C': 1.147803085616465e-10, 'mse': 0.69219332413633505, 'gamma': 0.0003730279188064418}
{'C': 2.5064657079319077, 'mse': 0.0024975961849134929, 'gamma': 0.43244253844620256}
{'C': 6.0590663939182766e-06, 'mse': 0.69123488000655486, 'gamma': 28.895171295072661}
{'C': 0.016140265536731768, 'mse': 0.16318687907313936, 'gamma': 403.25351621612845}
{'C': 0.0024661833501429618, 'mse': 0.28161654767161576, 'gamma': 15.712045006538933}
{'C': 0.00011341488905433115, 'mse': 0.65654672236090106, 'gamma': 5.031363119576489}
{'C': 77.882254724809499, 'mse': 0.0044176036876612292, 'gamma': 0.56038600891818047}
{'C': 35178.24014974638, 'mse': 0.37201329413275658, 'gamma': 1.3961812172170535e-08}
{'C': 1.1561336528240132e-10, 'mse': 0.69219332416799939, 'gamma': 7.0751205485291298e-09}
{'C': 40348.777468640219, 'mse': 0.0047798122531252044, 'gamma': 1.4980472923462194}
{'C': 0.00413668391641029, 'mse': 0.076699869302151738, 'gamma': 0.60125297379677789}
{'C': 339.66761076623368, 'mse': 0.0062268910014927044, 'gamma': 0.0015189497792215784}
{'C': 4.963817348440238e-07, 'mse': 0.69219297103887356, 'gamma': 0.00096254205178640572}
{'C': 3541.3912161149219, 'mse': 0.68152204065318445, 'gamma': 4.019649529514469e-09}
{'C': 0.0098025462724005575, 'mse': 0.39097311841908416, 'gamma': 751.13512786070282}
{'C': 656381.45741521136, 'mse': 0.60360748242433659, 'gamma': 1.8548590464252168e-10}
{'C': 2.6638729475179038e-05, 'mse': 0.6921747986532264, 'gamma': 0.00094091735832118261}
