{'C': 1.5026680398558149e-09, 'mse': 0.27883774710686432, 'gamma': 6.3278474469939179e-06}
{'C': 6.0519359414366173e-09, 'mse': 0.27883774710484571, 'gamma': 0.0022963180688840151}
{'C': 25.172922037224527, 'mse': 0.025245870376944906, 'gamma': 0.048403519976092942}
{'C': 0.0011990862762686777, 'mse': 0.27884617819944524, 'gamma': 0.0016606100091066372}
{'C': 0.28521861680579913, 'mse': 0.2789787639600369, 'gamma': 8.6583972170610308e-06}
{'C': 1598.8852102846747, 'mse': 0.22303835857414736, 'gamma': 681.3349508239196}
{'C': 1.3727738168759914e-09, 'mse': 0.27883774711192588, 'gamma': 0.0022405132015919974}
{'C': 1.9358148362078648e-05, 'mse': 0.27883774711581177, 'gamma': 5.4299076675099801e-09}
{'C': 6.2462839910982009, 'mse': 0.062384089175955032, 'gamma': 18.225699162820117}
{'C': 59917.392701588455, 'mse': 0.0098861910421084512, 'gamma': 2.6582155342785376}
{'C': 13323.616604804134, 'mse': 0.0041465899221406867, 'gamma': 0.22575225010044042}
{'C': 3.1702313474450721e-08, 'mse': 0.27883685846603479, 'gamma': 0.32858020168807611}
{'C': 0.00047785849859950696, 'mse': 0.2788377515927043, 'gamma': 1.0377179326286482e-07}
{'C': 0.00042437714948215309, 'mse': 0.2788377478226654, 'gamma': 2.0798030165355398e-08}
{'C': 283930.52888809144, 'mse': 0.11256428972758141, 'gamma': 37.961583036733266}
{'C': 0.31927415724961078, 'mse': 0.27885679474406921, 'gamma': 6.5388150443051797e-07}
{'C': 145.76028398771979, 'mse': 0.0097460470613758583, 'gamma': 0.072688339514992734}
{'C': 0.32093631027393693, 'mse': 0.074928212676029102, 'gamma': 14.350481411729643}
{'C': 1.3890972648126114e-05, 'mse': 0.27883421056059599, 'gamma': 441.22919425760631}
{'C': 0.00025024902501283292, 'mse': 0.27883826760670288, 'gamma': 2.3077653065267506e-05}
{'C': 2528.3928806818021, 'mse': 0.27906421168375284, 'gamma': 2.7144763679414912e-09}
{'C': 3.1971589353737074e-06, 'mse': 0.27883774710780168, 'gamma': 2.4659310451544888e-09}
{'C': 4.8586969078489704e-09, 'mse': 0.27883763518654553, 'gamma': 0.068283572969389209}
{'C': 56627.482120136956, 'mse': 0.2753505163076696, 'gamma': 2.6767034507509185e-08}
{'C': 7.684901507306092e-07, 'mse': 0.27883775199319877, 'gamma': 7.228749533706769e-05}
{'C': 20.746710768102716, 'mse': 0.27859594872229954, 'gamma': 5.5216289605068652e-07}
{'C': 8.0044662495204496e-05, 'mse': 0.27883774728759031, 'gamma': 2.6384130739945409e-08}
{'C': 0.014727472016237224, 'mse': 0.2690535680581807, 'gamma': 36.115485405327462}
