{'C': 1.5160593616805662e-08, 'mse': 1.0496481403935096, 'gamma': 51.633752774381385}
{'C': 3.7718257099696802e-10, 'mse': 1.0496481924999999, 'gamma': 2.9927556895323464e-09}
{'C': 1.0969045018272252e-06, 'mse': 1.0496412620242863, 'gamma': 13.762973618366427}
{'C': 0.027286439030059895, 'mse': 1.0453518794186654, 'gamma': 0.010462543992352078}
{'C': 5.784346896541422e-08, 'mse': 1.0496481924999996, 'gamma': 4.625508766433594e-10}
{'C': 6643.7800577740372, 'mse': 0.02280018922728088, 'gamma': 0.010398461190743741}
{'C': 6.5044325647846541e-10, 'mse': 1.0496481924999992, 'gamma': 6.8623500904991156e-08}
{'C': 0.000181428932251994, 'mse': 1.049525778360308, 'gamma': 611.62759663319116}
{'C': 1.3376431173371779e-08, 'mse': 1.0496481924998402, 'gamma': 7.8748235374405398e-07}
{'C': 305.81422036878598, 'mse': 1.0495900089129866, 'gamma': 1.5366951711716925e-08}
{'C': 32.703651824817015, 'mse': 0.63976268339420095, 'gamma': 0.0014806483283812482}
{'C': 0.022765937742150293, 'mse': 1.0494510373795238, 'gamma': 0.00056991699449435564}
{'C': 5.4008184493114499e-08, 'mse': 1.0496481907246034, 'gamma': 0.0021658162272448641}
{'C': 8.245799931189552, 'mse': 0.92783737949537681, 'gamma': 0.0011922959654495358}
{'C': 1.8485683603191951, 'mse': 0.92531595572358671, 'gamma': 0.0054587263191576314}
{'C': 905.06182589582329, 'mse': 0.32334907235698718, 'gamma': 0.0052985985200553389}
{'C': 0.070347953186398304, 'mse': 1.0495024573593679, 'gamma': 0.00013628661302978194}
{'C': 1.4891811319641492e-07, 'mse': 1.0496481924836443, 'gamma': 7.2236498688759572e-06}
{'C': 4.2554900284687782e-05, 'mse': 1.0496479747256291, 'gamma': 0.00033668017485073833}
{'C': 1.4674198319668819e-07, 'mse': 1.049648192490295, 'gamma': 4.3513814083357137e-06}
{'C': 473.61687887295847, 'mse': 1.0495810953750493, 'gamma': 1.1442597939829436e-08}
{'C': 0.0044661567362761796, 'mse': 1.0483161550686793, 'gamma': 881.05877028439431}
{'C': 1.9289509400467498e-08, 'mse': 1.0496481485315856, 'gamma': 0.17059801652630691}
{'C': 0.026125808472930386, 'mse': 1.0066120363769788, 'gamma': 0.13648425800368144}
{'C': 0.021449893550681578, 'mse': 1.0479506968570949, 'gamma': 0.0052307269697300799}
{'C': 141.07053733191353, 'mse': 0.068140853960858686, 'gamma': 0.031779695526228939}
{'C': 2516.334742739823, 'mse': 0.020323101026773545, 'gamma': 0.26959348716533654}
{'C': 3.2590550572923281e-10, 'mse': 1.049648192080934, 'gamma': 190.62452954326781}
{'C': 3.2423927956343789e-06, 'mse': 1.0496270427690215, 'gamma': 12.679967828467168}
{'C': 9.601887512030682e-07, 'mse': 1.0496481924999213, 'gamma': 6.5982724479655308e-09}
{'C': 2.046028714438189e-10, 'mse': 1.0496481919268335, 'gamma': 72.520150775250116}
{'C': 2.5989819488819367e-07, 'mse': 1.0496481924998708, 'gamma': 3.0478196570840404e-08}
{'C': 3.3212198445056796e-06, 'mse': 1.0496481924944059, 'gamma': 1.1039934505563699e-07}
{'C': 10.830254384618167, 'mse': 0.78879770301027263, 'gamma': 0.002147695942003263}
{'C': 6.1226503399005648e-06, 'mse': 1.0496340436164688, 'gamma': 0.17330228165535602}
{'C': 8.2014275852006494e-09, 'mse': 1.0496481914945175, 'gamma': 0.0081148218789918406}
{'C': 2.1558246545379004e-09, 'mse': 1.0496481718513957, 'gamma': 2.8242659513112236}
{'C': 0.0026063543330619157, 'mse': 1.0496209427973462, 'gamma': 0.00068804611452653419}
{'C': 12240.703760857419, 'mse': 0.015238868635332196, 'gamma': 0.021133657529729576}
{'C': 0.082293261555832664, 'mse': 1.0496471510372753, 'gamma': 8.3308774540734781e-07}
{'C': 49079.750882122207, 'mse': 0.008917173626061408, 'gamma': 0.04735503661143383}
{'C': 6.3515903451991391e-05, 'mse': 1.0496481740437331, 'gamma': 1.9108140360117986e-05}
{'C': 0.0017204442235500609, 'mse': 1.0441572088103854, 'gamma': 0.25445914918952656}
{'C': 43.581887556767889, 'mse': 0.43328056360512301, 'gamma': 210.41555441068539}
{'C': 0.30581353983335041, 'mse': 1.0496481897318868, 'gamma': 7.3105909104626274e-10}
{'C': 14557.939536850288, 'mse': 0.74963677813914265, 'gamma': 1.8369125243589891e-06}
{'C': 0.00053044558525933909, 'mse': 1.049648192342187, 'gamma': 2.4028524996059967e-08}
{'C': 3.012256779494483e-08, 'mse': 1.0496481911114695, 'gamma': 0.0030391001879509732}
{'C': 7.8480776465593542e-07, 'mse': 1.0496481924975809, 'gamma': 2.0407773676657758e-07}
{'C': 0.01043812293572826, 'mse': 1.0496481923267247, 'gamma': 1.3407228265241636e-09}
{'C': 1.8371965056816098e-05, 'mse': 1.0496481917827036, 'gamma': 2.566981798749207e-06}
{'C': 2.5462377573255767e-05, 'mse': 1.0494164360568714, 'gamma': 4.3479752352308036}
{'C': 1.5676896337392061e-09, 'mse': 1.0496481775130357, 'gamma': 2.3093293346135}
{'C': 5.1143057356836206, 'mse': 0.012301904722019759, 'gamma': 0.39121629991882506}
{'C': 1.3772884341996019, 'mse': 0.017581571407483544, 'gamma': 1.0349647835247113}
{'C': 4.1559733191942822e-06, 'mse': 1.0496481924999599, 'gamma': 7.8031648562924633e-10}
{'C': 16.250001279557669, 'mse': 0.83339706303852989, 'gamma': 0.0011659831076238395}
{'C': 104630.83509453626, 'mse': 0.012945886715866656, 'gamma': 0.12067037158202928}
{'C': 9697.7411738481514, 'mse': 0.022892529257504093, 'gamma': 0.0083956659803597379}
{'C': 37477.617102602126, 'mse': 0.0091298748226722737, 'gamma': 0.044007187329754609}
{'C': 3.5221222970398024e-07, 'mse': 1.04964816789727, 'gamma': 0.0046109531919709271}
{'C': 387.76491904879913, 'mse': 1.0496328426267554, 'gamma': 3.1971780738901115e-09}
{'C': 809684.6161916632, 'mse': 0.48679610844524263, 'gamma': 2.4872194010911145e-06}
{'C': 5663.1431038762612, 'mse': 0.1341141264032196, 'gamma': 49.249631312769843}
{'C': 12721.930611953996, 'mse': 1.0308070320747682, 'gamma': 1.0277606084117477e-07}
{'C': 0.12548933987748223, 'mse': 0.56727123197778351, 'gamma': 21.216441306286971}
{'C': 0.24649179784247999, 'mse': 1.0496456483020014, 'gamma': 6.7983684625675673e-07}
{'C': 4.4730450026944583e-08, 'mse': 1.0496481924999455, 'gamma': 7.9085899281748809e-08}
{'C': 1.2440249482786758, 'mse': 0.026409954549743993, 'gamma': 15.840728276998457}
{'C': 2.9354545217914675e-08, 'mse': 1.0496480263484271, 'gamma': 18.071377030837272}
{'C': 0.00068126742195948563, 'mse': 1.0462984110214222, 'gamma': 25.018749669493538}
{'C': 0.09628988574404071, 'mse': 1.0280796363753597, 'gamma': 268.15792567419004}
{'C': 0.79361987364271802, 'mse': 1.0496472163661197, 'gamma': 8.0115174531112841e-08}
{'C': 0.0042818906094638214, 'mse': 1.0178719537146077, 'gamma': 3.9050385562676677}
{'C': 52.491780840765394, 'mse': 0.04521841500270616, 'gamma': 18.814411337563044}
