{'C': 2.3241834993456902e-09, 'mse': 0.041667380286012121, 'gamma': 740.17254331049594}
{'C': 1.2770009731578144e-08, 'mse': 0.041667380286012121, 'gamma': 1.3353433605624495e-06}
{'C': 7.1336262835160982e-10, 'mse': 0.041667380286012121, 'gamma': 15.717975185799411}
{'C': 2.9942337753780156e-09, 'mse': 0.041667380286012121, 'gamma': 1.2665310223660448e-06}
{'C': 1.4081280011935146e-06, 'mse': 0.041667380286012121, 'gamma': 192.69604414879498}
{'C': 0.092072617626830208, 'mse': 0.041511024046983896, 'gamma': 2.224166417438557e-10}
{'C': 0.00050809388904554155, 'mse': 0.041667380286012121, 'gamma': 0.088313968440929258}
{'C': 0.0047704128685277071, 'mse': 0.04167455541478806, 'gamma': 1.3441574511230417e-09}
{'C': 193.72874718705799, 'mse': 0.041359641420535873, 'gamma': 34.24235552168269}
{'C': 9.1874861106925623e-10, 'mse': 0.041667380286012121, 'gamma': 5.2214000713501622e-06}
{'C': 373941.68566146155, 'mse': 0.041359641442667273, 'gamma': 1.9329712755645963e-08}
{'C': 6.9230291665233752e-08, 'mse': 0.041667380286012121, 'gamma': 7.6711770057027914e-05}
{'C': 2.1809190162961587e-09, 'mse': 0.041667380286012121, 'gamma': 1.9438796225083115e-08}
{'C': 6.1116771313838738, 'mse': 0.041359641420535873, 'gamma': 515.45643081007108}
{'C': 7.2709983406088852e-06, 'mse': 0.041667377858313419, 'gamma': 1.2070288667624544e-09}
{'C': 1.7440681362388225e-05, 'mse': 0.041667380286012121, 'gamma': 2.1727222738227057e-08}
{'C': 0.058210618604762808, 'mse': 0.041645361260551392, 'gamma': 1.9980050770766261e-09}
{'C': 1.3750566647213986, 'mse': 0.041370094434430113, 'gamma': 0.18190121456058383}
{'C': 1.2280779353626208e-07, 'mse': 0.041667380286012121, 'gamma': 373.85584696813555}
{'C': 0.23546167329653186, 'mse': 0.041498254663979967, 'gamma': 0.00076487476442256216}
{'C': 268172.49616001884, 'mse': 0.041359641420535873, 'gamma': 0.034302546492902659}
{'C': 1.309024329815907e-06, 'mse': 0.041667380286012121, 'gamma': 2.2480028784748083e-08}
{'C': 0.00067704726538518384, 'mse': 0.041662940511339314, 'gamma': 0.24605844775046368}
{'C': 2.5852350878578399e-09, 'mse': 0.041667380286012121, 'gamma': 5.803050392592353e-05}
{'C': 7.687558717593722e-09, 'mse': 0.041667380286012121, 'gamma': 4.0248333087963858e-07}
{'C': 0.70694113407579851, 'mse': 0.041378480429602724, 'gamma': 5.6519512421064428e-07}
{'C': 1.5587640771351525e-05, 'mse': 0.041667380286012121, 'gamma': 0.0029304770281222232}
{'C': 3.0579632473559308e-06, 'mse': 0.041667380286012121, 'gamma': 0.0002148979213238519}
{'C': 0.0040129149821641593, 'mse': 0.041673749165460315, 'gamma': 5.3864298036034758e-09}
{'C': 1181.6398383920352, 'mse': 0.041359641420535873, 'gamma': 0.23288651924779108}
{'C': 0.00034398461760394014, 'mse': 0.041667380286012121, 'gamma': 67.945766726616441}
{'C': 7.5060961720988207e-07, 'mse': 0.041667380286012121, 'gamma': 9.0824834742501842e-05}
{'C': 3.7324308693272517e-10, 'mse': 0.041667380286012121, 'gamma': 0.0086755829086737138}
{'C': 0.48153628802156534, 'mse': 0.04139359623222004, 'gamma': 7.1535041886545663e-05}
{'C': 8031.7166716622078, 'mse': 0.041359641420535873, 'gamma': 7.6656770967940509e-07}
{'C': 1303.5125560784741, 'mse': 0.041359641420535873, 'gamma': 0.00052104584855549273}
{'C': 8.1683933405274012e-06, 'mse': 0.041667380286012121, 'gamma': 0.0018266524652389515}
{'C': 3.1373140109625566e-06, 'mse': 0.041667380286012121, 'gamma': 139.48902436917407}
{'C': 5.6428989448730052e-08, 'mse': 0.041667380286012121, 'gamma': 127.94687740590012}
{'C': 1.1131858336687256e-08, 'mse': 0.041667380286012121, 'gamma': 9.7977771042073681e-05}
{'C': 0.00012173554268920789, 'mse': 0.04166738028601201, 'gamma': 1.9618446769947176e-08}
{'C': 37.870244693568154, 'mse': 0.041359641420535873, 'gamma': 7.4870643477251145e-05}
{'C': 1.6322650732952033e-08, 'mse': 0.041667380286012121, 'gamma': 0.086894756160530329}
{'C': 22.660742516308556, 'mse': 0.041348163199626142, 'gamma': 3.1513392313221685e-09}
{'C': 399569.22145767289, 'mse': 0.041359641420535873, 'gamma': 0.00015060254937555254}
{'C': 2.5024477276782556e-09, 'mse': 0.041667380286012121, 'gamma': 0.00084545513956907012}
{'C': 123784.08682774083, 'mse': 0.041199340976971054, 'gamma': 4.4908125392394677e-10}
{'C': 1.6038524440584139e-07, 'mse': 0.041667380286012121, 'gamma': 3.3071054283144954}
{'C': 0.0084091014879573, 'mse': 0.041676664975540297, 'gamma': 7.2569049494728875e-06}
{'C': 0.012233864381179623, 'mse': 0.041671291905424422, 'gamma': 106.94420628782731}
{'C': 1.0092958592610294e-10, 'mse': 0.041667380286012121, 'gamma': 0.03276772800928332}
{'C': 712.13257406386754, 'mse': 0.041359641420535873, 'gamma': 4.2091544927030753e-05}
{'C': 8.7620542947695501e-10, 'mse': 0.041667380286012121, 'gamma': 2.4364069516693426e-05}
{'C': 76186.470799846793, 'mse': 0.041359641420535873, 'gamma': 0.20725016124906762}
