{'C': 460.59279667918923, 'mse': 0.0093005761386992722, 'gamma': 0.00032392295412390118}
{'C': 11.155279232798121, 'mse': 0.031884628477406356, 'gamma': 2.1721117478319911}
{'C': 4.7162846327338517e-09, 'mse': 0.039841538413311554, 'gamma': 0.00028471558187535324}
{'C': 1.5036717722673263e-07, 'mse': 0.03980788662492836, 'gamma': 8.7000652643971434e-09}
{'C': 2.7888388345267223e-06, 'mse': 0.039841538549942421, 'gamma': 3.5323783503337149e-09}
{'C': 1.9677158886602488, 'mse': 0.03856374898771555, 'gamma': 45.692163074447464}
{'C': 41.42736134431626, 'mse': 0.038565472382237204, 'gamma': 132.98779016878478}
{'C': 0.00041879039320652809, 'mse': 0.039841525529747138, 'gamma': 3.1082331476934396e-07}
{'C': 0.19364140230091101, 'mse': 0.039406884526860378, 'gamma': 4.9303890492863644e-05}
{'C': 1.9826486226077599e-07, 'mse': 0.039841538533712868, 'gamma': 8.7139738593256885e-07}
{'C': 1.4501217512884867, 'mse': 0.039788965682494688, 'gamma': 2.1803553103578802e-07}
{'C': 0.0034961995511426001, 'mse': 0.039780573412085324, 'gamma': 3.7120607733657486e-10}
{'C': 0.0014174107268770508, 'mse': 0.039841365668204808, 'gamma': 1.2184495792923401e-06}
{'C': 1339.5775216638731, 'mse': 0.03856547236545442, 'gamma': 645.1963783045079}
{'C': 0.00032615071034421941, 'mse': 0.039780573699982107, 'gamma': 86.86603948261147}
{'C': 3275.5562158059329, 'mse': 0.038945048550166693, 'gamma': 2.0578014236314207e-08}
{'C': 636.4921663614258, 'mse': 0.0048079593684046658, 'gamma': 0.022163420235400598}
{'C': 0.067929918212585649, 'mse': 0.039835730155426165, 'gamma': 8.5477344074823424e-07}
{'C': 38628.220851389226, 'mse': 0.012403734570016303, 'gamma': 1.74929122381914e-05}
{'C': 0.0013247554905432234, 'mse': 0.033970177851893511, 'gamma': 0.038104040935900377}
{'C': 498378.10984842398, 'mse': 0.038470037511800316, 'gamma': 1.9368890572832352e-08}
{'C': 1.525807072247217, 'mse': 0.039382342420226042, 'gamma': 7.0220939481643775e-06}
{'C': 0.43915256624273924, 'mse': 0.039807657758507947, 'gamma': 8.2515519113500342e-09}
{'C': 0.0027875270257479829, 'mse': 0.039786087057786065, 'gamma': 0.00027858401540077382}
{'C': 6.6980786417467781, 'mse': 0.0060980387113680565, 'gamma': 0.01272035605114971}
{'C': 1.3961290667171525e-10, 'mse': 0.039780573730999989, 'gamma': 4.8665123237666781e-10}
{'C': 0.00072910938414891486, 'mse': 0.03962896379423228, 'gamma': 0.0031215407304285708}
{'C': 0.0056618973947965721, 'mse': 0.026800738950265565, 'gamma': 0.22875180958537691}
{'C': 18.848034559548847, 'mse': 0.01699585576003031, 'gamma': 0.0005103380056209341}
{'C': 1013.0752710043785, 'mse': 0.038692176368749859, 'gamma': 6.6023287002618535e-07}
{'C': 1.1514586320371258, 'mse': 0.038195758653961541, 'gamma': 6.7837793292937132}
{'C': 100013.67780503082, 'mse': 0.0070900472204820462, 'gamma': 0.00051970347296863989}
{'C': 0.0007963059664411866, 'mse': 0.039780573448374643, 'gamma': 75.221607101575444}
{'C': 149818.30285489716, 'mse': 0.038667295718033907, 'gamma': 5.1922506593028321e-09}
{'C': 17262.936503066761, 'mse': 0.038679742459899892, 'gamma': 2.3171516142404167e-08}
{'C': 0.001508015909556066, 'mse': 0.035857120198099959, 'gamma': 0.021229921061858358}
{'C': 681947.75182996446, 'mse': 0.038565472365664571, 'gamma': 202.58330711645746}
{'C': 3.0341207719890303e-05, 'mse': 0.039780573731000003, 'gamma': 323.9232987109238}
{'C': 3.4074691901048327e-09, 'mse': 0.039841535072663692, 'gamma': 0.0070738877429674151}
{'C': 0.74914955711808362, 'mse': 0.0053674769150125305, 'gamma': 0.12419203109353256}
{'C': 5829.376230835127, 'mse': 0.038567137219888747, 'gamma': 1.1852068943745748e-06}
{'C': 0.16475455195975586, 'mse': 0.03978056469759278, 'gamma': 1.6667269740254833e-10}
